通讯端口	类型值	返回码	系统提示	玩家提示	如何弹出(1不弹|2底部文本框|3确认框)	玩家提示标题
16	17	40	没有权限邀请别人加入联盟	您没有权限邀请别人加入联盟	3	邀请失败
16	17	2	联盟人数已经达到上限	您的联盟人数已达到上限，无法邀请	3	邀请失败
16	17	64	邀请目标已经在联盟成员列表中了	您邀请的玩家已经是本联盟成员了	3	邀请失败
16	17	40	你没有邀请人的权限	您没有邀请的权限	3	邀请失败
16	17	0	成功的发起邀请	成功的发起邀请	2	-1
16	34	36	你没有联盟	您当前没有加入任何联盟，无法取消	3	操作失败
16	34	1	没有找到指定的联盟	没有找到指定的联盟	3	操作失败
16	34	64	你要取消邀请的目标已经在本联盟里了	您要取消邀请的玩家已经是本联盟成员了	3	操作失败
16	34	40	没有权限取消邀请	您没有权限取消邀请	3	操作失败
16	34	0	成功取消邀请消息	成功取消邀请消息	2	-1
16	18	26	你已经有联盟了，不能同意别人的邀请	你已加入一个联盟，不能同意别人的邀请	3	加入失败
16	18	36	你同意加入的联盟不存在	你同意加入的联盟不存在	3	加入失败
16	18	1	你并不在邀请列表里，不能同意邀请	你当前已不在邀请列表里，无法加入	3	加入失败
16	18	59	你已经在这个联盟的列表里	您已经是这个联盟的成员了	3	加入失败
16	18	2	你同意加入的联盟人数已达上限	该联盟成员已满，无法加入	3	加入失败
16	18	0	你成功同意加入一个联盟	成功加入联盟	2	-1
16	35	1	你要拒绝别人的邀请，不过别人没有邀请你	你无法拒绝不存在的邀请	3	拒绝失败
16	35	0	你成功拒绝了别人联盟的邀请	你已拒绝加入该联盟	2	-1
16	36	1	对方没有向你提出申请加入联盟	当前的邀请已经不生效，无法加入	3	加入失败
16	36	0	成功移除联盟申请信息	成功删除联盟的申请信息	1	-1
16	19	1	获取自己联盟的简要信息失败，你没有联盟	错误1161901	3	系统错误
16	19	0	成功获取自己联盟的简要信息	成功获取自己联盟的简要信息	1	-1
16	50	1	获取自己联盟的完整信息失败，你没有联盟	错误1165001	3	系统错误
16	50	0	成功获取自己联盟的完整信息	成功获取自己联盟的完整信息	1	-1
16	51	1	获取联盟提示数量的信息失败，你没有联盟	错误1165101	3	系统错误
16	51	0	成功获取联盟提示数量信息	成功获取联盟提示数量信息	1	-1
16	26	1	获取指定联盟的简要信息失败，你没有联盟	错误1162601	3	系统错误
16	26	0	成功获取指定联盟的简要信息	成功获取指定联盟的简要信息	1	-1
16	20	1	获取联盟成员失败，你没有联盟	错误1162001	3	系统错误
16	20	0	成功获取联盟成员信息	成功获取联盟成员信息	1	-1
16	21	1	获取本人申请了那个联盟失败，没找到自己的城市	错误1162101	3	系统错误
16	21	0	成功获取本人申请了那个联盟	成功获取本人申请了那个联盟	1	-1
16	22	1	获取哪个联盟邀请了我失败，没找到自己的城市	错误1162201	3	系统错误
16	22	0	成功获取哪个联盟邀请了我	成功获取哪个联盟邀请了我	1	-1
16	23	1	获取指定名字的玩家基本信息失败，没找到指定的城市	该名称用户不存在	3	系统错误
16	23	0	成功获取指定名字玩家的基本信息	成功获取指定名字玩家的基本信息	1	-1
16	24	1	获得指定名字的联盟的简要信息失败，没有找到指定的联盟	没有找到指定的联盟	3	系统错误
16	24	0	成功获得指定名字的联盟的简要信息	成功获得指定名字的联盟的简要信息	1	-1
16	25	0	获得联盟列表成功	获得联盟列表成功	1	-1
16	55	0	成功获取可以直接加入的联盟的列表	成功获取可以直接加入的联盟的列表	1	-1
16	27	1	获取联盟联盟战列表失败，没有找到联盟	错误1162701	3	系统错误
16	27	0	成功获得联盟战列表	成功获得联盟战列表	1	-1
16	28	1	获得联盟防御增援列表失败，没有找到联盟	错误1162801	3	系统错误
16	28	0	成功获得联盟防御增援列表	成功获得联盟防御增援列表	1	-1
16	29	1	获取联盟发出的邀请列表失败，没有找到联盟	错误1162901	3	系统错误
16	29	0	成功获取联盟发出的邀请消息列表	成功获取联盟发出的邀请消息列表	1	-1
16	30	1	获得联盟收到的申请列表，没有找到联盟	错误1163001	3	系统错误
16	30	0	成功获得联盟收到的申请列表	成功获得联盟收到的申请列表	1	-1
16	31	36	申请联盟帮助，没有找到联盟	您当前没有加入任何联盟，无法获得帮助	3	申请帮助失败
16	31	64	不是可以申请帮助的cd类型	这个类型无法申请联盟帮助	3	申请帮助失败
16	31	25	申请的帮助，并没有cd存在	cd已完成，无需申请帮助	3	申请帮助失败
16	31	59	你已经申请过相同的帮助了	您已经对这个cd申请过帮助了	3	申请帮助失败
16	31	0	成功申请联盟帮助	成功申请联盟帮助	2	-1
16	32	36	帮助别人失败，没有找到联盟	您当前没有加入任何联盟，无法帮助	3	帮助失败
16	32	59	不能够帮助自己	无法对自己进行帮助	3	帮助失败
16	32	1	没有找到指定的帮助信息	没有找到指定的帮助信息	3	帮助失败
16	32	2	帮助的人数已达到上限	可对其进行帮助的人数已达上限	3	帮助失败
16	32	44	已经帮助过这一条帮助信息了	您已经帮助过他了，无法重复帮助	3	帮助失败
16	32	64	你要帮助的目标人物没有找到	这个玩家已经完成了这个cd，无法帮助	3	帮助失败
16	32	0	成功帮助一条帮助消息	成功的进行了帮助	2	-1
16	41	1	群体帮助，没有找到联盟	您当前没有加入任何联盟，无法帮助	3	帮助失败
16	41	0	成功群体帮助	成功的进行了帮助	2	-1
16	37	1	获得指定的联盟战信息，没有找到指定的联盟战	没有找到指定的联盟战	3	获取信息失败
16	37	0	成功获取指定的联盟战信息	成功获取指定的联盟战信息	1	-1
16	38	1	获得指定的联盟防御信息，没有找到指定的防御对象	获得指定的联盟防御信息，没有找到指定的防御对象	3	获取信息失败
16	38	0	成功获得指定的联盟防御信息	成功获得指定的联盟防御信息	1	-1
16	39	2	增加联盟战可以增援的部队数，已经达到上限	联盟战的可加入人数已达到上限	3	操作失败
16	39	28	缺少人民币	钻石不足	3	操作失败
16	39	1	没有找到要开格子的目标	没有找到可开战争槽的目标	3	操作失败
16	39	0	成功给指定联盟成员增加了联盟战支援的部队格子	成功开启	2	-1
16	40	1	获取联盟的帮助信息，没有找到联盟	错误1164001	3	系统错误
16	40	0	成功获取联盟的全部帮助信息	成功获取联盟的全部帮助信息	1	-1
16	42	1	获得全部的小型作战列表，没有找到联盟	错误1164201	3	系统错误
16	42	0	成功获取全部的小型作战	成功获取全部的小型作战	1	-1
16	43	1	创建小型作战，没有找到自己的联盟	您当前没有联盟，无法创建	3	创建失败
16	43	43	今日已经创建过小型作战了	今日创建作战次数已用完	3	创建失败
16	43	50	你现在正在参与小型作战	你现在正在参与一个小型作战，无法创建	3	创建失败
16	43	36	你不是该联盟的成员	你已不是该联盟的成员，无法创建	3	创建失败
16	43	64	没有取到指定sid的小型作战	错误1164364	3	创建失败
16	43	40	你的战斗力不足不能创建该小型作战	战力不足，无法创建这个小型作战	3	创建失败
16	43	0	成功创建小型作战	成功创建小型作战	2	-1
16	44	1	加入小型作战，但是没找到联盟	没有找到联盟，无法加入	3	加入失败
16	44	36	你不是联盟成员	你不是联盟成员，无法加入	3	加入失败
16	44	50	你正在参与小型作战	您当前已经加入了一个小型作战，无法重复加入	3	加入失败
16	44	5	小型作战已经开始	小型作战已经开始，无法加入	3	加入失败
16	44	2	小型作战人数已达到上限	作战人数已满，无法加入	3	加入失败
16	44	43	今日加入的小型作战已超上限	加入次数已达上限	3	加入失败
16	44	40	战力不足不能加入小型作战	战力不足，无法加入这个小型作战	3	加入失败
16	44	0	成功加入小型作战	成功加入小型作战	2	-1
16	45	1	退出小型战役失败，没找到联盟	退出小型作战失败，没找到联盟	3	无法退出
16	45	64	没找到的指定的小型战役	没找到的指定的小型作战	3	无法退出
16	45	5	小型战役已经开始	小型作战已经开始，无法退出	3	无法退出
16	45	50	你没有参加这个小型战役	您没有参加这个小型作战	3	无法退出
16	45	0	你成功退出小型战役	您成功退出小型作战	2	-1
16	46	1	创建大型战役失败，没有找到联盟	创建大型战役失败，没有找到联盟	3	创建失败
16	46	40	没有权限创建大型战役	您没有创建大型作战的权限	3	创建失败
16	46	64	没有找到指定编号的大型战役	错误164664	3	系统错误
16	46	0	成功创建一个大型战役	创建成功	2	-1
16	47	1	加入大型作战失败，没找到联盟	加入大型作战失败，没找到联盟	3	加入失败
16	47	34	没有开启大型作战，不能加入	当前没有大型作战开启，无法加入	3	加入失败
16	47	50	已经加入过了大型作战	您已经加入了大型作战	3	加入失败
16	47	0	成功加入大型作战	成功加入大型作战	2	-1
16	48	1	获取大型作战信息，没有联盟	错误164801	3	系统错误
16	48	0	成功获取大型作战信息	成功获取大型作战信息	1	-1
16	49	1	获得跟自己相关的作战信息，没有联盟	错误164901	3	系统错误
16	49	0	成功获得和自己相关的大型作战信息	成功获得和自己相关的大型作战信息	1	-1
16	52	1	赶走支援自己的部队，没找到指定id的部队	没有找到指定部队	3	解散失败
16	52	0	成功赶走支援自己的部队	成功解散增援部队	2	-1
16	53	1	获得联盟礼包列表失败，没有找到联盟	错误165301	3	系统错误
16	53	0	成功获得可以领取的联盟礼包列表	成功获得可以领取的联盟礼包列表	1	-1
16	54	1	领取礼包，没有找到联盟	领取礼包，没有找到联盟	3	领取失败
16	54	64	没有找到指定id的礼包	没有找到指定id的礼包	3	领取失败
16	54	50	该礼包已经领取过了	这个礼包已经领取过了	3	领取失败
16	54	0	成功领取礼包	成功领取礼包	2	-1
17	1	0	成功获取全部的聊天消息	成功获取全部的聊天消息	1	-1
17	2	34	发送的消息为空	发送的聊天信息不能为空	3	发送失败
17	2	37	没有玩家的城市信息	没有玩家的城市信息	3	发送失败
17	2	0	成功发送消息	成功发送消息	1	-1
17	3	34	发送消息为空	发送的聊天信息不能为空	3	发送失败
17	3	2	发送字符超出长度	发送的字符超出长度	3	发送失败
17	3	37	没找到玩家的城市信息	没找到玩家的城市信息	3	发送失败
17	3	0	成功发送国家消息	成功发送消息	1	-1
17	4	34	发送的世界消息为空	发送的聊天信息不能为空	3	发送失败
17	4	2	发送的世界消息长度超出限制	发送的字符超出长度	3	发送失败
17	4	37	没有找到用户的城市信息	没有找到用户的城市信息	3	发送失败
17	4	0	成功发送世界消息	成功发送消息	1	-1
17	5	34	发送工会信息为空	发送的聊天信息不能为空	3	发送失败
17	5	2	发送工会信息超出长度	发送的字符超出长度	3	发送失败
17	5	37	没有找到用户的城市信息	没有找到用户的城市信息	3	发送失败
17	5	36	没有找到用户的联盟	您当前没有联盟	3	发送失败
17	5	0	成功发送联盟信息	成功发送联盟信息	1	-1
17	6	34	发送的私聊信息为空	发送的私聊信息为空	3	发送失败
17	6	2	发送的私聊信息长度超出限制	发送的字符超出长度	3	发送失败
17	6	37	没有找到用户的城市信息	没有找到用户的城市信息	3	发送失败
17	6	29	私聊的对象不是好友	对象不是好友，无法私聊	3	发送失败
17	6	0	成功发送私聊信息	成功发送私聊信息	1	-1
18	1	1	检查好友状态，没有找到自己的好友小对象	错误1180101	3	系统错误
18	1	0	成功检查好友状态	成功检查好友状态	1	-1
18	6	0	成功搜索好友	成功搜索好友	1	-1
18	2	14	申请好友时候目标玩家不存在	申请好友时候目标玩家不存在	3	申请失败
18	2	29	自身的好友对象异常（或者对方异常）	自己或对方好友数量达到上限	3	申请失败
18	2	2	添加的好友超出上限（或者对方已满）	自己或对方好友数量达到上限	3	申请失败
18	2	46	对方已经是你的好友	对方已经是你的好友	3	申请失败
18	2	47	你已经发出过好友邀请了	你已经发出过好友邀请了	3	申请失败
18	2	48	对方已经邀请了你	对方已经邀请了你	3	申请失败
18	2	0	成功发出了邀请好友的消息	成功发出了邀请好友的消息	2	-1
18	3	29	自身的好友对象异常（或者对方异常）	自己或对方好友数量达到上限	3	添加失败
18	3	2	添加的好友超出上限（或者对方已满）	自己或对方好友数量达到上限	3	添加失败
18	3	0	成功同意别人的好友申请	成功添加了好友	2	-1
18	4	29	自身的好友对象异常	1180429	3	系统错误
18	4	0	成功拒绝别人的好友申请	您拒绝了这个申请	2	-1
18	5	1	删除好友失败，没找到指定id的好友对象	删除好友失败，没有找到要删除的好友	3	删除失败
18	5	0	成功删除好友信息	成功删除好友	2	-1
19	1	5	在线礼包还在cd中	在线礼包还在cd中，无法领取	3	领取失败
19	1	1	指定sid的礼包不存在	要领取的礼包不存在	3	领取失败
19	1	0	成功领取在线礼包	成功领取在线礼包	2	-1
20	1	0	新手指引状态存储成功	新手指引状态存储成功	1	-1
21	1	0	获取整个副本列表成功	获取整个副本列表成功	1	-1
21	2	40	没有兵了打个p副本啊	您当前没有兵力，请前往兵营训练	3	无法作战
21	2	56	指定的副本地图不存在	指定的战役地图不存在	3	无法作战
21	2	57	指定的副本不存在	指定的战役不存在	3	无法作战
21	2	2	指定的副本已经大于每天可以打的次数了	作战次数已用完，请明日再战	3	无法作战
21	2	58	体力不足了	体力不足，无法作战	3	无法作战
21	2	0	攻击副本成功	攻击副本成功	1	-1
21	3	56	没有找到指定的副本地图	没有找到指定的副本地图	3	领取失败
21	3	1	领取失败，没有找到指定的宝箱，或者已经领过了	领取失败	3	领取失败
21	3	0	成功领取星级宝箱	恭喜您，领取到了副本星级宝箱	2	-1
22	1	0	设置玩家的系统参数成功	设置玩家的系统参数成功	1	-1
22	2	1	没有可以领取的礼包	没有可以领取的礼包	3	领取失败
22	2	15	没有找到配置的礼包或者礼包不可使用	1220215	3	系统错误
22	2	0	成功领取礼包	成功领取府邸等级礼包	2	-1
16	7	64	没有找到指定sid的道具	没找到需要消耗的道具	3	改名失败
16	7	28	联盟改名，人民币不足	钻石不足，无法更改	3	改名失败
16	7	15	联盟改名，道具不足	没有联盟改名卡，无法更改	3	改名失败
6	7	36	无法对无联盟且主城等级小于15级的人发动公会集火	无法对无联盟且府邸等级小于15级的人发动公会集火	3	发动失败
6	13	61	发动国王争夺战，英雄不能出击	当前英雄状态无法攻击	3	发动失败
6	13	43	发动国王争夺战，士兵派出数量为0	士兵数量为0，无法出击	3	发动失败
6	13	25	发动国王争夺战，国王争夺战尚未开始	国王争夺战尚未开始，无法出击	3	发动失败
6	13	36	你没有联盟不可以参加国王争夺战	你没有联盟不可以参加国王争夺战	3	发动失败
6	13	2	发动国王争夺战，派出的兵超过单只可以派出部队的数量	派出军队数量超过当前可派出上限	3	发动失败
6	13	45	发动国王争夺战，部队数量已达上限	达到当前行军队伍数量上限，无法继续出兵	3	发动失败
6	13	3	发动国王争夺战，派出的士兵超过有用的士兵数量	要派出的军队数量超过了您当前的实际数量	3	发动失败
6	13	62	发动国王争夺战，太远	行军距离超过1小时，无法出兵	3	发动失败
6	13	0	成功发动国王争夺战	成功发动国王争夺战	1	-1
24	2	51	设置玩家国王称号，没找到玩家	没有找到相应玩家，请重新输入正确的玩家名字	3	封发失败
24	2	40	设置玩家国王称号，你没有权限，不是国王（或者给国王加称号）	你没有权利进行封发此称头衔	3	封发失败
24	2	43	该称号已经被设置	这个头衔已经被封发过了	3	封发失败
24	2	64	你指定的人已经有称号了	这个人已经有头衔了，无法重复发放	3	封发失败
24	2	1	没找到指定sid的称号	错误1240201	3	封发失败
24	2	0	成功设置称号	成功设置称号	2	封发成功
6	7	5	联盟战目标正在被保护中	对方开启了和平盾保护，不能对其发动集火	3	发动失败
6	4	51	不是自己的部队	不是自己的集火部队，无法召回	3	召回失败
6	4	25	当前部队正在返回中	当前的部队已经在返回途中	3	召回失败
6	4	5	集火部队尚未出发	集火部队尚未出发	3	召回失败
6	4	55	支援的集火部队已经出发	您支援的集火部队已经向攻击目标出发，途中无法召回	3	召回失败
6	7	53	已经发起了一个联盟集火	只能同时发起一个联盟集火，无法再次发起	3	集火失败
14	1	4	体力已满	体力已满，无法回复	3	回复失败
10	1	65	您被禁言了	您被禁言了	3	发言失败
10	10	65	您被禁言了	您被禁言了	3	发言失败
17	2	65	您被禁言了	您被禁言了	3	发言失败
17	3	65	您被禁言了	您被禁言了	3	发言失败
17	4	65	您被禁言了	您被禁言了	3	发言失败
17	5	65	您被禁言了	您被禁言了	3	发言失败
17	6	65	您被禁言了	您被禁言了	3	发言失败
10	1	64	不能给自己发送邮件	不能给自己发送邮件	3	发送失败
6	3	58	体力不足，无法出兵	体力不足，无法出兵	3	出兵失败
14	1	64	目标国家数据错误	目标国家数据错误	3	转服失败
16	60	1	没有找到联盟	没有找到联盟	3	清除失败
14	1	67	不能使用该道具进行转服到别国	不能使用该道具进行转服到别国	3	转服失败
14	1	66	不能使用该道具进行转服到别国	不能使用该道具进行转服到别国	3	转服失败
14	1	76	您需要退出联盟才能进行转服到别国	您需要退出联盟才能进行转服到别国	3	转服失败
14	1	27	抱歉，目标国家的服务器正在更新	抱歉，目标国家的服务器正在更新	3	转服失败
14	1	6	抱歉，目标国家的服务器现在处于关闭状态	抱歉，目标国家的服务器现在处于关闭状态	3	转服失败
14	1	14	抱歉，系统没有找到您的玩家数据	抱歉，系统没有找到您的玩家数据	3	转服失败
14	1	65	目标国家数据插入错误	目标国家数据插入错误	3	转服失败
14	1	61	您的地牢中当前有关押的英雄，无法开启免战牌	您的地牢中当前有关押的英雄，无法开启免战牌	3	开启失败
22	5	34	名字不能为空	名字不能为空	3	创建失败
22	5	59	名字重复	名字重复	3	创建失败
22	5	1	系统错误1220501	系统错误1220501	3	创建失败
22	5	68	含有非法字符	含有非法字符	3	失败
14	1	68	含有非法字符	含有非法字符	3	失败
16	7	68	含有非法字符	含有非法字符	3	失败
16	1	68	含有非法字符	含有非法字符	3	失败
6	7	55	您没有建造军政厅，无法发动集火	您没有建造军政厅，无法发动集火	3	集火失败
6	6	54	您没有使馆建筑，无法增援他人	您没有使馆建筑，无法增援他人	3	增援失败
6	6	55	您没有军政厅建筑，无法参与集火	您没有军政厅建筑，无法参与集火	3	参与失败
19	2	1	今日已领取过了	今日已领取过了	3	领取失败
19	2	43	您已领完全部14天的新手奖励	您已领完全部14天的新手奖励	3	领取失败
15	5	5	英雄还没开始竞拍，无法竞拍	英雄还没开始竞拍，无法购买	3	竞拍失败
15	6	5	英雄还没开始竞拍，无法竞拍	英雄还没开始竞拍，无法购买	3	购买失败
