副本ID	名称	副本描述	副本建筑图标	副本类型	兵种12345	兵种数量	消耗体力	前序副本	后序副本	掉落资源012345	奖励英雄经验	概率掉落道具ID	掉落概率(万分位)	通关掉落奖励
11202	武关	   	chuji.png	0	1002|2002|3002|4002|10006	65250|76125|65250|27187|139200	20	11201	11203	0|0|0|0|18000|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11203	蓝田	   	chuji.png	0	1002|2002|3002|4002|10007	66000|77000|66000|27500|140800	20	11202	11204	0|0|0|18000|0|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11204	蓝田南	   	chuji.png	0	1002|2002|3002|4002|10006	66750|77875|66750|27812|142400	20	11203	11205	0|0|18000|0|0|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11205	潼关北	   	chuji.png	0	1002|2002|3002|4002|10007	67500|78750|67500|28125|144000	20	11204	11206	0|18000|0|0|0|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11206	潼关西	   	chuji.png	0	1002|2002|3002|4002|10005	68250|79625|68250|28437|145600	20	11205	11207	0|0|0|0|0|18000	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11207	潼关	   	chuji.png	0	1002|2002|3002|4002|10007	69000|80500|69000|28750|147200	20	11206	11208|11210|11211	0|0|0|0|18000|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11208	蒲坂	   	chuji.png	0	1002|2002|3002|4002|10007	69750|81375|69750|29062|148800	20	11207	11209	0|0|0|18000|0|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11209	渭北	   	chuji.png	0	1002|2002|3002|4002|10005	70500|82250|70500|29375|150400	20	11208	-1	0|0|18000|0|0|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11210	渭西	   	chuji.png	0	1002|2002|3002|4002|10006	71250|83125|71250|29687|152000	20	11207	-1	0|18000|0|0|0|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11211	渭口	   	chuji.png	0	1002|2002|3002|4002|10007	72000|84000|72000|30000|153600	20	11207	11212	0|0|18000|0|0|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11212	渭南	   	chuji.png	0	1002|2002|3002|4002|10005	73500|85750|73500|30625|156800	20	11211	11213	0|0|0|18000|0|0	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11213	河西	   	gaoji.png	1	1002|2002|3002|4002|10005	75000|87500|75000|31250|160000	40	11212	-1	0|0|19550|0|0|0	1600	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11301	当涂	   	chuji.png	0	1002|2002|3002|4002|10007	85000|85000|83937|37187|76500	20	-1	11302	0|0|0|0|0|22500	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11302	雩娄	   	chuji.png	0	1002|2002|3002|4002|10005	86000|86000|84925|37625|77400	20	11301	11303	0|0|0|0|22500|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11303	陆口	   	chuji.png	0	1002|2002|3002|4002|10007	87000|87000|85912|38062|78300	20	11302	11304	0|0|0|22500|0|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11304	合肥北	   	chuji.png	0	1002|2002|3002|4002|10006	88000|88000|86900|38500|79200	20	11303	11305	0|0|22500|0|0|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11305	合肥西	   	chuji.png	0	1002|2002|3002|4002|10005	89000|89000|87887|38937|80100	20	11304	11306	0|22500|0|0|0|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11306	合肥	   	chuji.png	0	1002|2002|3002|4002|10006	90000|90000|88875|39375|81000	20	11305	11307	0|0|0|0|0|22500	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11307	逍遥津北	   	chuji.png	0	1002|2002|3002|4002|10007	91000|91000|89862|39812|81900	20	11306	11308|11310|11311	0|0|0|0|22500|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11308	逍遥津南	   	chuji.png	0	1002|2002|3002|4002|10005	92000|92000|90850|40250|82800	20	11307	11309	0|0|0|22500|0|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11309	淝水	   	chuji.png	0	1002|2002|3002|4002|10006	93000|93000|91837|40687|83700	20	11308	-1	0|0|22500|0|0|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11310	巢湖	   	chuji.png	0	1002|2002|3002|4002|10005	94000|94000|92825|41125|84600	20	11307	-1	0|22500|0|0|0|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11311	合肥新北	   	chuji.png	0	1002|2002|3002|4002|10007	95000|95000|93812|41562|85500	20	11307	11312	0|0|0|0|0|22500	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11312	合肥新西	   	chuji.png	0	1002|2002|3002|4002|10005	97000|97000|95787|42437|87300	20	11311	11313	0|0|0|0|22500|0	1500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11313	合肥新城	   	gaoji.png	1	1002|2002|3002|4002|10007	100000|100000|98750|43750|90000	40	11312	-1	0|0|0|21000|0|0	1700	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11401	涪县	   	chuji.png	0	1002|2002|3002|4002|10005	88000|88000|99000|44000|158400	20	-1	11402	0|0|0|0|0|22500	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11402	绵竹	   	chuji.png	0	1002|2002|3002|4002|10007	89000|89000|100125|44500|160200	20	11401	11403	0|0|0|0|22500|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11403	雒城	   	chuji.png	0	1002|2002|3002|4002|10006	90000|90000|101250|45000|162000	20	11402	11404	0|0|0|22500|0|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11404	雁桥	   	chuji.png	0	1002|2002|3002|4002|10007	91000|91000|102375|45500|163800	20	11403	11405	0|0|22500|0|0|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11405	葭萌	   	chuji.png	0	1002|2002|3002|4002|10006	92000|92000|103500|46000|165600	20	11404	11406	0|22500|0|0|0|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11406	巴东	   	chuji.png	0	1002|2002|3002|4002|10005	93000|93000|104625|46500|167400	20	11405	11407	0|0|0|0|0|22500	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11407	江州	   	chuji.png	0	1002|2002|3002|4002|10007	94000|94000|105750|47000|169200	20	11406	11408|11410|11411	0|0|0|0|22500|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11408	江阳	   	chuji.png	0	1002|2002|3002|4002|10005	95000|95000|106875|47500|171000	20	11407	11409	0|0|0|22500|0|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11409	犍为	   	chuji.png	0	1002|2002|3002|4002|10005	96000|96000|108000|48000|172800	20	11408	-1	0|0|22500|0|0|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11410	巴西	   	chuji.png	0	1002|2002|3002|4002|10007	97000|97000|109125|48500|174600	20	11407	-1	0|22500|0|0|0|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11411	德阳	   	chuji.png	0	1002|2002|3002|4002|10006	98000|98000|110250|49000|176400	20	11407	11412	0|0|0|0|0|22500	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11412	成都东	   	chuji.png	0	1002|2002|3002|4002|10005	99000|99000|111375|49500|178200	20	11411	11413	0|0|0|0|22500|0	1600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11413	成都	   	gaoji.png	1	1002|2002|3002|4002|10006	100000|100000|112500|50000|180000	40	11412	-1	0|0|0|0|0|24500	1800	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11501	下辩	   	chuji.png	0	1003|2003|3003|4003|10008	40000|40000|40000|8000|180000	20	-1	11502|11503	0|0|0|0|0|31500	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11502	马鸣阁	   	chuji.png	0	1003|2003|3003|4003|10009	47000|47000|47000|9400|211500	20	11501	-1	0|0|0|0|31500|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11503	沔水	   	chuji.png	0	1003|2003|3003|4003|10010	50000|50000|50000|10000|225000	20	11501	11504	0|0|0|31500|0|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11504	定军山东	   	chuji.png	0	1003|2003|3003|4003|10009	53000|53000|53000|10600|238500	20	11503	11505	0|0|31500|0|0|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11505	定军山	   	chuji.png	0	1003|2003|3003|4003|10008	57000|57000|57000|11400|256500	20	11504	11506	0|31500|0|0|0|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11506	定军山南	   	chuji.png	0	1003|2003|3003|4003|10010	60000|60000|60000|12000|270000	20	11505	11507	0|0|0|0|0|31500	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11507	阳平关北	   	chuji.png	0	1003|2003|3003|4003|10008	65000|65000|65000|13000|292500	20	11506	11508	0|0|0|0|31500|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11508	阳平关西	   	chuji.png	0	1003|2003|3003|4003|10008	70000|70000|70000|14000|315000	20	11507	11509|11511|11512	0|0|0|31500|0|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11509	阳平关东	   	chuji.png	0	1003|2003|3003|4003|10009	75000|75000|75000|15000|337500	20	11508	11510	0|0|31500|0|0|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11510	阳平关	   	chuji.png	0	1003|2003|3003|4003|10010	80000|80000|80000|16000|360000	20	11509	-1	0|31500|0|0|0|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11511	阳平关南	   	chuji.png	0	1003|2003|3003|4003|10008	85000|85000|85000|17000|382500	20	11508	-1	0|0|0|0|0|31500	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11512	魏兴	   	chuji.png	0	1003|2003|3003|4003|10009	90000|90000|90000|18000|405000	20	11508	11513	0|0|0|0|31500|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11513	上庸	   	chuji.png	0	1003|2003|3003|4003|10010	95000|95000|95000|19000|427500	20	11512	11514	0|0|0|31500|0|0	1700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11514	新城	   	gaoji.png	1	1003|2003|3003|4003|10008	100000|100000|100000|20000|450000	40	11513	-1	0|34000|0|0|0|0	1900	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11601	汉中	   	chuji.png	0	1003|2003|3003|4003|10010	102000|102000|68000|68000|204000	20	-1	11602|11603	0|36000|0|0|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11602	樊城	   	chuji.png	0	1003|2003|3003|4003|10009	105000|105000|70000|70000|210000	20	11601	-1	0|0|36000|0|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11603	樊城北	   	chuji.png	0	1003|2003|3003|4003|10010	108000|108000|72000|72000|216000	20	11601	11604	0|0|0|36000|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11604	樊城东	   	chuji.png	0	1003|2003|3003|4003|10009	111000|111000|74000|74000|222000	20	11603	11605	0|0|0|0|36000|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11605	樊城南	   	chuji.png	0	1003|2003|3003|4003|10010	114000|114000|76000|76000|228000	20	11604	11606	0|0|0|0|0|36000	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11606	襄阳北	   	chuji.png	0	1003|2003|3003|4003|10010	117000|117000|78000|78000|234000	20	11605	11607	0|36000|0|0|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11607	襄阳西	   	chuji.png	0	1003|2003|3003|4003|10008	120000|120000|80000|80000|240000	20	11606	11608	0|0|36000|0|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11608	襄阳	   	chuji.png	0	1003|2003|3003|4003|10009	123000|123000|82000|82000|246000	20	11607	11609|11611|11612	0|0|0|36000|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11609	襄阳南	   	chuji.png	0	1003|2003|3003|4003|10008	126000|126000|84000|84000|252000	20	11608	11610	0|0|0|0|36000|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11610	偃城	   	chuji.png	0	1003|2003|3003|4003|10010	129000|129000|86000|86000|258000	20	11609	-1	0|0|0|0|0|36000	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11611	南郡	   	chuji.png	0	1003|2003|3003|4003|10008	133500|133500|89000|89000|267000	20	11608	-1	0|36000|0|0|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11612	公安	   	chuji.png	0	1003|2003|3003|4003|10008	138000|138000|92000|92000|276000	20	11608	11613	0|0|36000|0|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11613	江陵	   	chuji.png	0	1003|2003|3003|4003|10010	142500|142500|95000|95000|285000	20	11612	11614	0|0|0|36000|0|0	1800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11614	麦城	   	gaoji.png	1	1003|2003|3003|4003|10008	150000|150000|100000|100000|300000	40	11613	-1	0|0|38000|0|0|0	2000	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11701	巫山	   	chuji.png	0	1003|2003|3003|4003|10008	160000|120000|160000|80000|240000	20	-1	11702|11703	0|40500|0|0|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11702	峡口	   	chuji.png	0	1003|2003|3003|4003|10010	162000|121500|162000|81000|243000	20	11701	-1	0|0|40500|0|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11703	巫地	   	chuji.png	0	1003|2003|3003|4003|10009	164000|123000|164000|82000|246000	20	11701	11704	0|0|0|40500|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11704	秭归	   	chuji.png	0	1003|2003|3003|4003|10010	166000|124500|166000|83000|249000	20	11703	11705	0|0|0|0|40500|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11705	武陵	   	chuji.png	0	1003|2003|3003|4003|10010	168000|126000|168000|84000|252000	20	11704	11706	0|0|0|0|0|40500	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11706	夷道	   	chuji.png	0	1003|2003|3003|4003|10008	170000|127500|170000|85000|255000	20	11705	11707	0|40500|0|0|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11707	猇亭	   	chuji.png	0	1003|2003|3003|4003|10009	172000|129000|172000|86000|258000	20	11706	11708	0|0|40500|0|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11708	夷陵	   	chuji.png	0	1003|2003|3003|4003|10008	176000|132000|176000|88000|264000	20	11707	11709|11711|11712	0|0|0|40500|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11709	巫峡	   	chuji.png	0	1003|2003|3003|4003|10010	180000|135000|180000|90000|270000	20	11708	11710	0|0|0|0|40500|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11710	建平	   	chuji.png	0	1003|2003|3003|4003|10009	184000|138000|184000|92000|276000	20	11709	-1	0|0|0|0|0|40500	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11711	涿乡	   	chuji.png	0	1003|2003|3003|4003|10008	188000|141000|188000|94000|282000	20	11708	-1	0|40500|0|0|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11712	马鞍山	   	chuji.png	0	1003|2003|3003|4003|10009	192000|144000|192000|96000|288000	20	11708	11713	0|0|40500|0|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11713	石门山	   	chuji.png	0	1003|2003|3003|4003|10008	196000|147000|196000|98000|294000	20	11712	11714	0|0|0|40500|0|0	1900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11714	白帝城	   	gaoji.png	1	1003|2003|3003|4003|10008	200000|150000|200000|100000|300000	40	11713	-1	0|0|0|42000|0|0	2100	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11801	平夷	   	chuji.png	0	1003|2003|3003|4003|10008	166000|207500|166000|83000|498000	20	-1	11802|11803	0|45000|0|0|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11802	建宁	   	chuji.png	0	1003|2003|3003|4003|10009	168000|210000|168000|84000|504000	20	11801	-1	0|0|45000|0|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11803	且兰	   	chuji.png	0	1003|2003|3003|4003|10008	170000|212500|170000|85000|510000	20	11801	11804	0|0|0|45000|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11804	牂牁	   	chuji.png	0	1003|2003|3003|4003|10009	172000|215000|172000|86000|516000	20	11803	11805	0|0|0|0|45000|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11805	越巂	   	chuji.png	0	1003|2003|3003|4003|10009	174000|217500|174000|87000|522000	20	11804	11806	0|0|0|0|0|45000	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11806	南中	   	chuji.png	0	1003|2003|3003|4003|10009	176000|220000|176000|88000|528000	20	11805	11807	0|45000|0|0|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11807	渡泸	   	chuji.png	0	1003|2003|3003|4003|10008	178000|222500|178000|89000|534000	20	11806	11808	0|0|45000|0|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11808	白崖	   	chuji.png	0	1003|2003|3003|4003|10010	180000|225000|180000|90000|540000	20	11807	11809|11811|11812	0|0|0|45000|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11809	豪猪洞	   	chuji.png	0	1003|2003|3003|4003|10008	182000|227500|182000|91000|546000	20	11808	11810	0|0|0|0|45000|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11810	佛光寨	   	chuji.png	0	1003|2003|3003|4003|10010	186000|232500|186000|93000|558000	20	11809	-1	0|0|0|0|0|45000	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11811	治渠山	   	chuji.png	0	1003|2003|3003|4003|10010	190000|237500|190000|95000|570000	20	11808	-1	0|45000|0|0|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11812	爱甸	   	chuji.png	0	1003|2003|3003|4003|10008	194000|242500|194000|97000|582000	20	11808	11813	0|0|45000|0|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11813	怒江西	   	chuji.png	0	1003|2003|3003|4003|10010	198000|247500|198000|99000|594000	20	11812	11814	0|0|0|45000|0|0	2000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11814	蹯蛇谷	   	gaoji.png	1	1003|2003|3003|4003|10008	200000|250000|200000|100000|600000	40	11813	-1	0|0|0|0|47000|0	2200	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11901	皖城北	   	chuji.png	0	1003|2003|3003|4003|10008	215000|215000|215000|43000|1161000	20	-1	11902|11903	0|67500|0|0|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11902	皖城西	   	chuji.png	0	1003|2003|3003|4003|10009	217500|217500|217500|43500|1174500	20	11901	-1	0|0|67500|0|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11903	皖城	   	chuji.png	0	1003|2003|3003|4003|10009	220000|220000|220000|44000|1188000	20	11901	11904	0|0|0|67500|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11904	江陵	   	chuji.png	0	1003|2003|3003|4003|10008	222500|222500|222500|44500|1201500	20	11903	11905	0|0|0|0|67500|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11905	东关	   	chuji.png	0	1003|2003|3003|4003|10009	225000|225000|225000|45000|1215000	20	11904	11906	0|0|0|0|0|67500	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11906	皖口北	   	chuji.png	0	1003|2003|3003|4003|10008	227500|227500|227500|45500|1228500	20	11905	11907	0|67500|0|0|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11907	皖西	   	chuji.png	0	1003|2003|3003|4003|10009	230000|230000|230000|46000|1242000	20	11906	11908	0|0|67500|0|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11908	皖口	   	chuji.png	0	1003|2003|3003|4003|10010	232500|232500|232500|46500|1255500	20	11907	11909|11911|11912	0|0|0|67500|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11909	夹石	   	chuji.png	0	1003|2003|3003|4003|10008	235000|235000|235000|47000|1269000	20	11908	11910	0|0|0|0|67500|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11910	石亭北	   	chuji.png	0	1003|2003|3003|4003|10010	237500|237500|237500|47500|1282500	20	11909	-1	0|0|0|0|0|67500	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11911	石亭西	   	chuji.png	0	1003|2003|3003|4003|10008	240000|240000|240000|48000|1296000	20	11908	-1	0|67500|0|0|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11912	石亭东	   	chuji.png	0	1003|2003|3003|4003|10010	242500|242500|242500|48500|1309500	20	11908	11913	0|0|67500|0|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11913	石亭南	   	chuji.png	0	1003|2003|3003|4003|10008	245000|245000|245000|49000|1323000	20	11912	11914	0|0|0|67500|0|0	2100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11914	石亭	   	gaoji.png	1	1003|2003|3003|4003|10008	250000|250000|250000|50000|1350000	40	11913	-1	0|0|0|0|0|80000	2300	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
12001	箕谷北	   	judian.png	0	1004|2004|3004|4004|10011	172000|172000|172000|86000|412800	20	-1	12002|12003	0|108000|0|0|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12002	箕谷	   	judian.png	0	1004|2004|3004|4004|10012	174000|174000|174000|87000|417600	20	12001	-1	0|0|108000|0|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12003	郿城	   	judian.png	0	1004|2004|3004|4004|10013	176000|176000|176000|88000|422400	20	12001	12004	0|0|0|108000|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12004	武都	   	judian.png	0	1004|2004|3004|4004|10012	178000|178000|178000|89000|427200	20	12003	12005	0|0|0|0|108000|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12005	下辨	   	judian.png	0	1004|2004|3004|4004|10013	180000|180000|180000|90000|432000	20	12004	12006	0|0|0|0|0|108000	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12006	祁山北	   	judian.png	0	1004|2004|3004|4004|10011	182000|182000|182000|91000|436800	20	12005	12007	0|108000|0|0|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12007	祁山西	   	judian.png	0	1004|2004|3004|4004|10013	184000|184000|184000|92000|441600	20	12006	12008	0|0|108000|0|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12008	祁山	   	judian.png	0	1004|2004|3004|4004|10012	186000|186000|186000|93000|446400	20	12007	12009|12011|12012	0|0|0|108000|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12009	祁山南	   	judian.png	0	1004|2004|3004|4004|10011	188000|188000|188000|94000|451200	20	12008	12010	0|0|0|0|108000|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12010	祁山东	   	judian.png	0	1004|2004|3004|4004|10012	190000|190000|190000|95000|456000	20	12009	-1	0|0|0|0|0|108000	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12011	街亭	   	judian.png	0	1004|2004|3004|4004|10013	192000|192000|192000|96000|460800	20	12008	-1	0|108000|0|0|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12012	街亭东	   	judian.png	0	1004|2004|3004|4004|10011	194000|194000|194000|97000|465600	20	12008	12013	0|0|108000|0|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12013	街亭南	   	judian.png	0	1004|2004|3004|4004|10013	196000|196000|196000|98000|470400	20	12012	12014	0|0|0|108000|0|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12014	街亭西	   	judian.png	0	1004|2004|3004|4004|10011	198000|198000|198000|99000|475200	20	12013	12015	0|0|0|0|108000|0	2200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12015	陈仓	   	judian.png	1	1004|2004|3004|4004|10011	200000|200000|200000|100000|480000	40	12014	-1	0|0|0|0|0|110000	2400	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
12101	汉中	   	judian.png	0	1004|2004|3004|4004|10011	150000|150000|150000|175000|1080000	20	-1	12002|12103	0|135000|0|0|0|0	2300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12102	汉中西	   	judian.png	0	1004|2004|3004|4004|10012	159000|159000|159000|185500|1144800	20	12101	-1	0|0|135000|0|0|0	2300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12103	汉中北	   	judian.png	0	1004|2004|3004|4004|10012	171000|171000|171000|199500|1231200	20	12101	12104	0|0|0|135000|0|0	2300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12104	斜谷口	   	judian.png	0	1004|2004|3004|4004|10011	180000|180000|180000|210000|1296000	20	12103	12105	0|0|0|0|135000|0	2300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12105	斜谷	   	judian.png	0	1004|2004|3004|4004|10013	189000|189000|189000|220500|1360800	20	12104	12106	0|0|0|0|0|135000	2300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12106	斜谷北	   	judian.png	0	1004|2004|3004|4004|10013	201000|201000|201000|234500|1447200	20	12105	12107	0|135000|0|0|0|0	2300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12107	郿县	   	judian.png	0	1004|2004|3004|4004|10012	210000|210000|210000|245000|1512000	20	12106	12108	0|0|135000|0|0|0	2300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
12108	渭水南	   	judian.png	0	1004|2004|3004|4004|10013	219000|219000|219000|255500|1576800	20	12107	12109|12111|12112	0|0|0|135000|0|0	2300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
