道具id	道具类型	道具名称	功能类别	道具说明	叠放数量	售价（金币）	售价（公会贡献）	是否可以使用（1=是，0=否）	功能id	功能参数1	功能参数2	功能参数3	功能参数4
41001	5	黄巾之乱星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41002	5	黄巾之乱星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41003	5	黄巾之乱星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41004	5	虎牢关之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41005	5	虎牢关之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41006	5	虎牢关之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41007	5	兖州之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41008	5	兖州之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41009	5	兖州之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41010	5	江东平定战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41011	5	江东平定战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41012	5	江东平定战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41013	5	宛城之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41014	5	宛城之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41015	5	宛城之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41016	5	下邳之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41017	5	下邳之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41018	5	下邳之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41019	5	袁术讨伐战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41020	5	袁术讨伐战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41021	5	袁术讨伐战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41022	5	官渡之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41023	5	官渡之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41024	5	官渡之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41025	5	火烧新野星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41026	5	火烧新野星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41027	5	火烧新野星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41028	5	长坂坡之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41029	5	长坂坡之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41030	5	长坂坡之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41031	5	火烧赤壁星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41032	5	火烧赤壁星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41033	5	火烧赤壁星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41034	5	潼关之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41035	5	潼关之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41036	5	潼关之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41037	5	合肥之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41038	5	合肥之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41039	5	合肥之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41040	5	益州之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41041	5	益州之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41042	5	益州之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41043	5	汉中之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41044	5	汉中之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41045	5	汉中之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41046	5	襄樊之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41047	5	襄樊之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41048	5	襄樊之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41049	5	夷陵之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41050	5	夷陵之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41051	5	夷陵之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
