建筑id	建筑当前等级	图片	需求前序建筑	前序建筑等级	升级时间sec	升级消耗资源012345	升级消耗道具1234	道具数量1234	升级增加英雄经验	本等级对应战力
1015	11	jishi1.png	1001	12	51610	0|0|141750|283446|198504|113454	-1	-1	500	3810
1015	12	jishi1.png	1001	13	61932	0|0|212625|425169|297756|170181	-1	-1	500	5750
1015	13	jishi1.png	1001	14	74318	0|0|318938|637754|446634|255272	-1	-1	1000	8660
1015	14	jishi1.png	1001	15	89181	0|0|478407|956631|669951|382908	-1	-1	2000	13030
1015	15	jishi1.png	1001	16	107020	0|0|717611|1434947|1004927|574362	-1	-1	2500	19590
1015	16	jishi1.png	1001	17	149828	0|0|1076417|2152421|1507391|861543	-1	-1	2500	29440
1015	17	jishi1.png	1001	18	239725	0|0|1614626|3228632|2261087|1292315	-1	-1	5000	44210
1015	18	jishi1.png	1001	19	431505	0|0|2421939|4842948|3391631|1938473	-1	-1	5000	66370
1015	19	jishi1.png	1001	20	776709	0|0|3632909|7264422|5087447|2907710	-1	-1	10000	99620
1015	20	jishi1.png	1001	21	3106836	0|0|5449364|10896633|7631171|4361565	20654	1	10000	149495
1016	0	dilao1.png	-1	-1	150	0|0|260|250|410|200	-1	-1	10	20
1016	1	dilao1.png	1020	10	300	0|0|522|500|835|417	20652	2	25	60
1016	2	dilao1.png	1020	10	600	0|0|1044|1044|1670|835	20652	5	50	120
1016	3	dilao1.png	1020	10	1200	0|0|2088|2088|3341|1671	20652	12	200	220
1016	4	dilao1.png	1020	10	2400	0|0|4177|4177|6683|3343	20652	25	400	360
1016	5	dilao1.png	1020	10	4800	0|0|8354|8354|13366|6686	20652	50	500	580
1016	6	dilao1.png	1020	10	9600	0|0|16708|16708|26732|13372	20652	65	500	920
1016	7	dilao1.png	1020	10	19200	0|0|33416|33416|53464|26744	20652	90	500	1480
1016	8	dilao1.png	1020	10	38400	0|0|66832|66832|106928|53488	20652	100	500	2240
1016	9	dilao1.png	1020	10	76800	0|0|100248|100248|160392|80232	20652	150	500	3380
1016	10	dilao1.png	1020	11	92160	0|0|150372|150372|240588|120348	20652	250	500	5090
1016	11	dilao1.png	1020	12	110592	0|0|225558|225558|360882|180522	20652	400	500	7670
1016	12	dilao1.png	1020	13	132711	0|0|338337|338337|541323|270783	20652	700	500	12035
1016	13	dilao1.png	1020	14	159254	0|0|507506|507506|811985|406175	20652	1000	1000	18585
1016	14	dilao1.png	1020	15	191105	0|0|761259|761259|1217978|609263	20652	1300	2000	28410
1016	15	dilao1.png	1020	16	229326	0|0|1141889|1141889|1826967|913895	20652	1600	2500	43147
1016	16	dilao1.png	1020	17	321057	0|0|1712834|1712834|2749451|1370843	20652	2000	2500	65312
1016	17	dilao1.png	1020	18	513692	0|0|2569251|2569251|4124176|2056264	20652	2250	5000	94852
1016	18	dilao1.png	1020	19	924646	0|0|3853876|3853876|6186264|3084396	20652	2500	5000	139172
1016	19	dilao1.png	1020	20	1664363	0|0|5780814|5780814|9279397|4626595	20652	3000	10000	205672
1016	20	dilao1.png	1020	21	6657452	0|0|8671221|8671221|13919095|6939892	20654|20652	1|4500	10000	305422
1017	0	qianzhuang1.png	1002|1003	1|1	50	0|0|500|200|200|50	-1	-1	10	10
1017	1	qianzhuang1.png	1002|1003	2|2	100	0|0|850|340|340|85	-1	-1	25	35
1017	2	qianzhuang1.png	1002|1003	3|3	200	0|0|1445|578|578|145	-1	-1	50	75
1017	3	qianzhuang1.png	1002|1003	4|4	400	0|0|2457|983|983|247	-1	-1	200	135
1017	4	qianzhuang2.png	1002|1003	5|5	800	0|0|4177|1672|1672|420	-1	-1	400	225
1017	5	qianzhuang2.png	1002|1003	6|6	1600	0|0|8354|3344|3344|840	-1	-1	500	360
1017	6	qianzhuang3.png	1002|1003	7|7	3200	0|0|16708|6688|6688|1680	-1	-1	500	575
1017	7	qianzhuang3.png	1002|1003	8|8	6400	0|0|33416|13376|13376|3360	-1	-1	500	885
1017	8	qianzhuang3.png	1002|1003	9|9	12800	0|0|66832|26752|26752|6720	-1	-1	500	1360
1017	9	qianzhuang3.png	1002|1003	10|10	25600	0|0|100248|40128|40128|10080	-1	-1	500	2075
1017	10	qianzhuang3.png	1002|1003	11|11	30720	0|0|150372|60192|60192|15120	-1	-1	500	3150
1017	11	qianzhuang3.png	1002|1003	12|12	36864	0|0|225558|90288|90288|22680	-1	-1	500	4760
1017	12	qianzhuang3.png	1002|1003	13|13	44237	0|0|338337|135432|135432|34020	-1	-1	1000	7185
1017	13	qianzhuang3.png	1002|1003	14|14	53085	0|0|507506|203148|203148|51030	-1	-1	1000	10825
1017	14	qianzhuang3.png	1002|1003	15|15	63702	0|0|761259|304722|304722|76545	-1	-1	2500	16285
1017	15	qianzhuang3.png	1002|1003	16|16	76443	0|0|1141889|457083|457083|114818	-1	-1	2500	24485
1017	16	qianzhuang3.png	1002|1003	17|17	107021	0|0|1712834|685625|685625|172227	-1	-1	2500	36800
1017	17	qianzhuang3.png	1002|1003	18|18	171234	0|0|2569251|1028438|1028438|258341	-1	-1	2500	55260
1017	18	qianzhuang3.png	1002|1003	19|19	308222	0|0|3853877|1542657|1542657|387512	-1	-1	5000	82960
1017	19	qianzhuang3.png	1002|1003	20|20	554800	0|0|5780816|2313986|2313986|581268	-1	-1	10000	124525
1017	20	qianzhuang3.png	1002|1003	21|21	2219200	0|0|8671224|3470969|3470979|871902	20654	1	10000	186860
1018	0	walls1_gate.png	-1	-1	0	-1	-1	-1	0	40
1018	1	walls1_gate.png	-1	-1	210	0|0|900|1440|1800|540	-1	-1	1250	100
1018	2	walls1_gate.png	-1	-1	420	0|0|1620|2592|3240|972	-1	-1	2500	190
1018	3	walls1_gate.png	1011	4	840	0|0|2916|4666|5832|1750	-1	-1	5000	340
1018	4	walls1_gate.png	1011	5	1680	0|0|5249|8399|10498|3150	-1	-1	5000	550
1018	5	walls1_gate.png	1011	6	3360	0|0|10498|16798|20996|6300	-1	-1	5000	880
1018	6	walls1_gate.png	1011	7	6720	0|0|20996|33596|41992|12600	-1	-1	5000	1375
1018	7	walls1_gate.png	1011	8	13440	0|0|41992|67192|83984|25200	-1	-1	5000	2117
1018	8	walls1_gate.png	1011	9	26880	0|0|83984|134384|167968|50400	-1	-1	5000	3257
1018	9	walls1_gate.png	1011	10	53760	0|0|125976|201576|251952|75600	-1	-1	5000	4967
1018	10	walls1_gate.png	1011	11	64512	0|0|188964|302364|377928|113400	-1	-1	5000	7532
1018	11	walls1_gate.png	1011	12	77415	0|0|283446|453546|566892|170100	-1	-1	5000	11402
1018	12	walls1_gate.png	1011	13	92898	0|0|425169|680319|850338|255150	-1	-1	5000	17207
1018	13	walls1_gate.png	1011	14	111478	0|0|637754|1020479|1275507|382725	-1	-1	10000	25937
1018	14	walls1_gate.png	1011	15	133773	0|0|956781|1530719|1913261|574088	-1	-1	10000	39047
1018	15	walls1_gate.png	1011	16	160529	0|0|1435172|2296079|2869892|861132	-1	-1	10000	58712
1018	16	walls1_gate.png	1011	17	224741	0|0|2152421|3444119|4304838|1291698	-1	-1	10000	88262
1018	17	walls1_gate.png	1011	18	359586	0|0|3228632|5166179|6457257|1937547	-1	-1	10000	132572
1018	18	walls1_gate.png	1011	19	647255	0|0|4842948|7749269|9685886|2906321	-1	-1	10000	199052
1018	19	walls1_gate.png	1011	20	1165059	0|0|7264422|11623904|14528829|4359482	-1	-1	50000	298772
1018	20	walls1_gate.png	1011	21	4660236	0|0|10896633|17435856|21793244|6539223	20654	1	50000	448352
1019	0	shaota1.png	-1	-1	0	-1	-1	-1	10	10
1019	1	shaota1.png	1009	2	140	0|0|340|680|850|170	-1	-1	25	35
1019	2	shaota1.png	1009	3	280	0|0|578|1156|1445|289	-1	-1	50	75
1019	3	shaota1.png	1009	4	560	0|0|983|1966|2457|492	-1	-1	200	135
1019	4	shaota2.png	1009	5	1120	0|0|1672|3343|4177|837	-1	-1	400	225
1019	5	shaota2.png	1009	6	2240	0|0|3344|6686|8354|1674	-1	-1	500	360
1019	6	shaota3.png	1009	7	4480	0|0|6688|13372|16708|3348	-1	-1	500	575
1019	7	shaota3.png	1009	8	8960	0|0|13376|26744|33416|6696	-1	-1	500	885
1019	8	shaota3.png	1009	9	17920	0|0|26752|53488|66832|13392	-1	-1	500	1360
1019	9	shaota3.png	1009	10	35840	0|0|40128|80232|100248|20088	-1	-1	500	2075
1019	10	shaota3.png	1009	11	43008	0|0|60192|120348|150372|30132	-1	-1	500	3150
1019	11	shaota3.png	1009	12	51610	0|0|90288|180522|225558|45198	-1	-1	500	4760
1019	12	shaota3.png	1009	13	61932	0|0|135432|270783|338337|67797	-1	-1	1000	7185
1019	13	shaota3.png	1009	14	74319	0|0|203148|406175|507506|101696	-1	-1	1000	10825
1019	14	shaota3.png	1009	15	89123	0|0|304722|609263|2345642|152544	-1	-1	2500	16285
1019	15	shaota3.png	1009	16	107020	0|0|457083|913895|1141889|228816	-1	-1	2500	24485
1019	16	shaota3.png	1009	17	149828	0|0|685625|1370483|1712834|343224	-1	-1	2500	36800
1019	17	shaota3.png	1009	18	239725	0|0|1028438|2056256|2569251|514836	-1	-1	2500	55260
1019	18	shaota3.png	1009	19	431505	0|0|1542657|3084398|3853877|772254	-1	-1	5000	82960
1019	19	shaota3.png	1009	20	776709	0|0|2313986|4626597|5780816|1158381	-1	-1	10000	124525
1019	20	shaota3.png	1009	21	3106836	0|0|3470979|6939896|8671224|1737572	20654	1	10000	186860
1020	0	bieyuan1.png	1017	1	100	0|0|300|100|200|100	-1	-1	10	10
1020	1	bieyuan1.png	1017	2	200	0|0|540|180|360|180	-1	-1	25	35
1020	2	bieyuan1.png	1017	3	400	0|0|972|324|648|324	-1	-1	50	75
1020	3	bieyuan1.png	1017	4	800	0|0|1750|584|1167|584	-1	-1	200	135
1020	4	bieyuan2.png	1017	5	1600	0|0|3150|1052|2101|1052	-1	-1	400	225
1020	5	bieyuan2.png	1017	6	3200	0|0|6300|2104|4202|2104	-1	-1	500	360
1020	6	bieyuan3.png	1017	7	6400	0|0|12600|4208|8404|4208	-1	-1	500	575
1020	7	bieyuan3.png	1017	8	12800	0|0|25200|8416|16808|8416	-1	-1	500	885
1020	8	bieyuan3.png	1017	9	25600	0|0|50400|16832|33616|16832	-1	-1	500	1360
1020	9	bieyuan3.png	1017	10	51200	0|0|75600|25248|50424|25248	-1	-1	500	2075
1020	10	bieyuan3.png	1017	11	61440	0|0|113400|37872|75636|37872	-1	-1	500	3150
1020	11	bieyuan3.png	1017	12	73728	0|0|170100|56808|113454|56808	-1	-1	500	4760
1020	12	bieyuan3.png	1017	13	88474	0|0|255150|85212|170181|85212	-1	-1	1000	7185
1020	13	bieyuan3.png	1017	14	106168	0|0|382725|127818|255271|127818	-1	-1	1000	10825
1020	14	bieyuan3.png	1017	15	127403	0|0|574088|191727|382908|191727	-1	-1	2500	16285
1020	15	bieyuan3.png	1017	16	152884	0|0|861132|287591|574362|287591	-1	-1	2500	24485
1020	16	bieyuan3.png	1017	17	214038	0|0|1291698|431387|861543|431387	-1	-1	2500	36800
1020	17	bieyuan3.png	1017	18	342461	0|0|1937547|647081|1292315|647081	-1	-1	2500	55260
1020	18	bieyuan3.png	1017	19	616430	0|0|2906321|970622|1938473|970622	-1	-1	5000	82960
1020	19	bieyuan3.png	1017	20	1109574	0|0|4359482|1455933|2907710|1455933	-1	-1	10000	124525
1020	20	bieyuan3.png	1017	21	4438296	0|0|6539223|2183900|4361565|2183900	20654	1	10000	186860
1021	0	mudi.png	-1	-1	-1	-1	-1	-1	-1	-1
1022	0	bieyuan1.png	-1	-1	-1	-1	-1	-1	-1	-1
