科技id	科技名称	科技等级	科技描述	科技类型1=兵种科技；2=城防科技；3=生产科技	消耗资源012345	消耗时间(秒)	需要的学院等级	科技的参数类型1	科技的参数数值1(万分位)	科技的参数类型2	科技的参数数值2(万分位)	前序科技	该等级上一个技能	英雄增加经验值	本等级战斗力
31210	石材增产	10	石材产量加成:+61%	3	0|10230000|153600|204800|12800|256000	2534400	18	104	6100	-1	0	31209	31209	120000	854783
31301	生铁增产	1	生铁产量加成:+1%	3	0|3200|400|500|400|25	1800	2	105	100	-1	0	31101	-1	12000	160
31302	生铁增产	2	生铁产量加成:+3%	3	0|8000|800|1000|600|50	5400	2	105	300	-1	0	31301	31301	24000	560
31303	生铁增产	3	生铁产量加成:+6%	3	0|20000|1600|2000|1200|100	16200	4	105	600	-1	0	31302	31302	36000	1560
31304	生铁增产	4	生铁产量加成:+10%	3	0|50000|3200|4000|2400|200	78600	5	105	1000	-1	0	31303	31303	48000	4060
31305	生铁增产	5	生铁产量加成:+15%	3	0|125000|6400|8000|4800|400	97200	8	105	1500	-1	0	31304	31304	60000	10310
31306	生铁增产	6	生铁产量加成:+16%	3	0|312000|12800|16000|9600|800	194400	11	105	1600	-1	0	31305	31305	72000	25935
31307	生铁增产	7	生铁产量加成:+23%	3	0|780000|25600|32000|19200|1600	388800	13	105	2300	-1	0	31306	31306	84000	64997
31308	生铁增产	8	生铁产量加成:+31%	3	0|195000|51200|64000|38400|3200	777600	16	105	3100	-1	0	31307	31307	96000	162652
31309	生铁增产	9	生铁产量加成:+41%	3	0|4875000|102400|128000|76800|6400	1555200	18	105	4100	-1	0	31308	31308	108000	406789
31310	生铁增产	10	生铁产量加成:+61%	3	0|1218700|204800|256000|153600|12800	3110400	20	105	6100	-1	0	31309	31309	120000	1017131
31401	士兵负载	1	士兵负载量加成:+1%	3	0|20000|10000|10000|10000|7500	7200	2	44	100	-1	0	31201	-1	25000	1000
31402	士兵负载	2	士兵负载量加成:+3%	3	0|40000|20000|20000|20000|15000	14400	5	44	300	-1	0	31401	31401	50000	3500
31403	士兵负载	3	士兵负载量加成:+6%	3	0|80000|40000|40000|40000|30000	28800	7	44	600	-1	0	31402	31402	75000	9750
31404	士兵负载	4	士兵负载量加成:+10%	3	0|160000|80000|80000|80000|60000	57600	9	44	1000	-1	0	31403	31403	100000	25375
31405	士兵负载	5	士兵负载量加成:+15%	3	0|320000|160000|160000|160000|120000	115200	11	44	1500	-1	0	31404	31404	125000	64437
31406	士兵负载	6	士兵负载量加成:+16%	3	0|640000|320000|320000|320000|240000	230400	13	44	1600	-1	0	31405	31405	150000	162092
31407	士兵负载	7	士兵负载量加成:+23%	3	0|1280000|640000|640000|640000|480000	460800	15	44	2300	-1	0	31406	31406	175000	406229
31408	士兵负载	8	士兵负载量加成:+31%	3	0|2560000|1280000|1280000|1280000|960000	921600	17	44	3100	-1	0	31407	31407	200000	1016571
31409	士兵负载	9	士兵负载量加成:+41%	3	0|5120000|2560000|2560000|2560000|1920000	1843200	19	44	4100	-1	0	31408	31408	225000	2542426
31410	士兵负载	10	士兵负载量加成:+61%	3	0|10240000|5120000|5120000|5120000|3840000	3686400	21	44	6100	-1	0	31409	31409	250000	6357063
31501	木材增产	1	木材产量加成:+1%	3	0|2750|500|25|300|400	1200	2	103	100	-1	0	31101	-1	12000	137
31502	木材增产	2	木材产量加成:+3%	3	0|6000|1000|50|600|800	3600	2	103	300	-1	0	31501	31501	24000	479
31503	木材增产	3	木材产量加成:+6%	3	0|15000|2000|100|1200|1600	10800	6	103	600	-1	0	31502	31502	36000	1334
31504	木材增产	4	木材产量加成:+10%	3	0|37000|4000|200|2400|3200	21600	8	103	1000	-1	0	31503	31503	48000	3184
31505	木材增产	5	木材产量加成:+15%	3	0|93000|8000|400|4800|6400	64800	10	103	1500	-1	0	31504	31504	60000	7809
31506	木材增产	6	木材产量加成:+16%	3	0|230000|16000|800|9600|12800	129600	11	103	1600	-1	0	31505	31505	72000	19371
31507	木材增产	7	木材产量加成:+23%	3	0|575000|32000|1600|19200|25600	259200	13	103	2300	-1	0	31506	31506	84000	48276
31508	木材增产	8	木材产量加成:+31%	3	0|1437000|64000|3200|38400|51200	1036800	15	103	3100	-1	0	31507	31507	96000	120538
31509	木材增产	9	木材产量加成:+41%	3	0|3592000|128000|6400|76800|102400	2073600	17	103	4100	-1	0	31508	31508	108000	301193
31510	木材增产	10	木材产量加成:+61%	3	0|8980000|516000|12800|153600|204800	4147200	19	103	6100	-1	0	31509	31509	120000	752830
31601	行军速度	1	行军速度加成:+1%	3	0|20000|10000|10000|10000|7500	7200	1	45	100	-1	0	31301	-1	25000	1000
31602	行军速度	2	行军速度加成:+3%	3	0|40000|20000|20000|20000|15000	144000	5	45	300	-1	0	31601	31601	50000	3500
31603	行军速度	3	行军速度加成:+6%	3	0|80000|40000|40000|40000|30000	28800	7	45	600	-1	0	31602	31602	75000	9750
31604	行军速度	4	行军速度加成:+10%	3	0|160000|80000|80000|80000|60000	57600	9	45	1000	-1	0	31603	31603	100000	25375
31605	行军速度	5	行军速度加成:+15%	3	0|320000|160000|160000|160000|120000	115200	11	45	1500	-1	0	31604	31604	125000	64437
31606	行军速度	6	行军速度加成:+16%	3	0|640000|320000|320000|320000|240000	230400	13	45	1600	-1	0	31605	31605	150000	162092
31607	行军速度	7	行军速度加成:+23%	3	0|1280000|640000|640000|640000|480000	460800	15	45	2300	-1	0	31606	31606	175000	406229
31608	行军速度	8	行军速度加成:+31%	3	0|2560000|1280000|1280000|1280000|960000	921600	17	45	3100	-1	0	31607	31607	200000	1016571
31609	行军速度	9	行军速度加成:+41%	3	0|5120000|2560000|2560000|2560000|1920000	1843200	19	45	4100	-1	0	31608	31608	225000	2542426
31610	行军速度	10	行军速度加成:+61%	3	0|10240000|5120000|5120000|5120000|3840000	3686400	21	45	6100	-1	0	31609	31609	250000	6357063
31701	资源采集	1	采集速度加成:+1%	3	0|20000|10000|10000|10000|7500	7200	3	110	100	-1	0	31501	-1	25000	1000
31702	资源采集	2	采集速度加成:+3%	3	0|40000|20000|20000|20000|15000	144000	5	110	300	-1	0	31701	31701	50000	3500
31703	资源采集	3	采集速度加成:+6%	3	0|80000|40000|40000|40000|30000	28800	7	110	600	-1	0	31702	31702	75000	7500
31704	资源采集	4	采集速度加成:+10%	3	0|160000|80000|80000|80000|60000	57600	9	110	1000	-1	0	31703	31703	100000	17500
31705	资源采集	5	采集速度加成:+15%	3	0|320000|160000|160000|160000|120000	115200	11	110	1500	-1	0	31704	31704	125000	42500
31706	资源采集	6	采集速度加成:+16%	3	0|640000|320000|320000|320000|240000	230400	13	110	1600	-1	0	31705	31705	150000	105000
31707	资源采集	7	采集速度加成:+23%	3	0|1280000|640000|640000|640000|480000	460800	15	110	2300	-1	0	31706	31706	175000	261250
31708	资源采集	8	采集速度加成:+31%	3	0|2560000|1280000|1280000|1280000|960000	921600	17	110	3100	-1	0	31707	31707	200000	651875
31709	资源采集	9	采集速度加成:+41%	3	0|5120000|2560000|2560000|2560000|1920000	1843200	19	110	4100	-1	0	31708	31708	225000	1628437
31710	资源采集	10	采集速度加成:+61%	3	0|10240000|5120000|5120000|5120000|3840000	3686400	21	110	6100	-1	0	31709	31709	250000	4069842
