奖励ID	奖励资源数量0123456789	奖励道具ID	道具数量
3306	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
3308	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
3309	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
3311	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
3312	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
3314	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
3315	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
3317	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
3318	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
3320	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
3321	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
3323	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
3324	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
3325	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
3326	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
3328	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
3329	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
3331	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
3332	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
3334	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
3335	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
3337	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
3338	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
3340	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
3341	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
3343	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
3344	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
3346	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
3347	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
3348	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
3349	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
3350	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3351	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3352	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3353	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3354	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3355	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3356	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3357	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3358	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3442	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
3445	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
3448	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
3451	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3453	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3454	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3455	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3456	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3457	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3458	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
4101	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
4102	0|0|5615|6938|8025|4683|5793|0|0|76	20251	1
4103	0|0|8423|10407|12038|7025|8689|0|0|115	20251|20252	1|1
4201	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
4202	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
4203	0|30545|9974|9427|9136|6984|61128|0|0|279	24051	1
4301	0|0|11231|13876|16050|9367|11586|0|0|153	20251|20252	1|1
4302	0|0|14039|17346|20063|11709|14482|0|0|192	20251|20252	1|1
4303	0|0|16847|20815|24076|14051|17379|0|0|230	20251|20252	1|1
4401	0|42764|13964|13198|12791|9777|85580|0|0|390	24051|24001	1|1
4402	0|54982|17954|16969|16445|12571|110031|0|0|502	24051|24002	1|1
4403	0|61091|19949|18855|18273|13968|122257|0|0|558	24051|24003	1|1
4501	0|0|22463|27753|32101|18735|23172|0|0|307	20251|20252	2|2
4502	0|0|25271|31222|36114|21077|26069|0|0|346	20251|20252	3|3
4503	0|0|29483|36426|42133|24590|30414|0|0|403	20251|20252	4|4
5101	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
5102	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
5103	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
5104	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
5105	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
5106	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
5107	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
5108	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
5109	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
5110	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
5111	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
5112	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
5113	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
5114	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
5115	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
5116	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
5117	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
5118	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
5119	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
5120	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
6101	0|3750|0|0|0|0|25000|0|0|350	24103	1
6102	0|3750|0|0|0|0|25000|0|0|350	24103	1
7101	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7102	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7103	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7104	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7105	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7106	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7107	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7108	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7109	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7110	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7111	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7112	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7113	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7114	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7115	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7116	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7117	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7118	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7119	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7120	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7121	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7122	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7123	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7124	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7125	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
7126	0|50|200|100|100|100|500|0|0|200	-1	-1
7127	0|50|200|100|100|100|500|0|0|200	-1	-1
7128	0|50|200|100|100|100|500|0|0|200	-1	-1
7129	0|50|200|100|100|100|500|0|0|200	-1	-1
7130	0|50|200|100|100|100|500|0|0|200	-1	-1
7131	0|50|200|100|100|100|500|0|0|200	-1	-1
7132	0|50|200|100|100|100|500|0|0|200	-1	-1
7133	0|50|200|100|100|100|500|0|0|200	-1	-1
7134	0|50|200|100|100|100|500|0|0|200	-1	-1
7135	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7136	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7137	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7138	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7139	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7140	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7141	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7142	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7143	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7144	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7145	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7146	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7147	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7148	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7149	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7150	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7151	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7152	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7153	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7154	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7155	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7156	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7157	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7158	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7159	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7160	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7161	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7162	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7163	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7164	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7165	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7166	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7167	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7168	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7169	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7170	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7171	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7172	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7173	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7174	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7175	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7176	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7177	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7178	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7179	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7180	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7181	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7182	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7183	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7184	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7185	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7186	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7187	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7188	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7189	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7190	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7191	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7192	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7193	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7194	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7195	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7196	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7197	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7198	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7199	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7200	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7201	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7202	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7203	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7204	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7205	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7206	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7207	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7208	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7209	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7210	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7211	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7212	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7213	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7214	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7215	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7216	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7217	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7218	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7219	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7220	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7221	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7222	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7223	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7224	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7225	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7226	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7227	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7228	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7229	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7230	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7231	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7232	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7233	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7234	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7235	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7236	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7237	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7238	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7239	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7240	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7241	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7242	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7243	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7244	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7245	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7246	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7247	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7248	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7249	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7250	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7251	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7252	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7253	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7254	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7255	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7256	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7257	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7258	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7259	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7260	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7261	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7262	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7263	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7264	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7265	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7266	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7267	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7268	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7269	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7270	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7271	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7272	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7273	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7274	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7275	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7276	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7277	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7278	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7279	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7280	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7281	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7282	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7283	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7284	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7285	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7286	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7287	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7288	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7289	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7290	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7291	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7292	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7293	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7294	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7295	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7296	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7297	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7298	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7299	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7300	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7301	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7302	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7303	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7304	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7305	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7306	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7307	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7308	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7309	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7310	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7311	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7312	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7313	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7314	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7315	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7316	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7317	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7318	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7319	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7320	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7321	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7322	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7323	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7324	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7325	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7326	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
7327	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
7328	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
7329	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
7330	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
7331	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
7332	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
7333	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
7334	0|48873|15959|15084|14618|11174|97805|0|0|446	-1	-1
7335	0|54982|17954|16969|16445|12571|110031|0|0|502	-1	-1
7336	0|61091|19949|18855|18273|13968|122257|0|0|558	-1	-1
8101	0|1000|12500|10000|10000|10000|20000|0|0|700	24051	1
8102	0|1500|20500|13000|13000|13000|30000|0|0|1000	24051	1
8103	0|2000|25000|18000|18000|18000|50000|0|0|1850	24051	1
8201	0|3000|30000|22500|22500|22500|75000|0|0|2250	24052	1
8202	0|5000|40000|30000|30000|30000|85000|0|0|3000	24053	1
8203	0|10000|80000|60000|60000|60000|150000|0|0|5000	24054	1
8301	0|0|0|0|0|0|75000|0|0|3750	24052	1
8302	0|0|0|0|0|0|155000|0|0|7050	24053	1
8303	0|0|0|0|0|0|320000|0|0|10050	24054	1
8401	0|0|0|0|0|0|75000|0|0|2550	24051|24001	1|1
8402	0|0|0|0|0|0|155000|0|0|6500	24052|24002	1|1
8403	0|0|0|0|0|0|320000|0|0|9000	24053|24003	1|1
8501	0|0|0|0|0|0|80000|0|0|3750	24051|24001	1|1
8502	0|0|0|0|0|0|160000|0|0|7050	24052|24002	1|1
8503	0|0|0|0|0|0|400000|0|0|10050	24053|24003	1|1
