文本id	文本
5350	查看奖励
5351	王国：
5352	该玩家已赢得以下巨奖！
5353	单人活动！
5354	结束剩余时间
5355	%d级
5356	要塞
5357	要塞正受到保护，效果持续%s！
5358	要塞
5359	国王
5360	在国王争夺战开启期间，占领要塞满２４小时的玩家的所属联盟将成为本国的统治联盟，联盟盟主将成为本国的国王，并享有全国税收，攻防加成等特权。
5361	头衔
5362	国王特权：
5363	成功控制要塞的联盟盟主将成为国王！国王将获得15%的攻击、防御、血量加成！国王每天都能获得王国中所有其他联盟盟主白银总收入的10%！国王联盟每天也会获得200000联盟资金！
5364	国王头衔：
5365	成为国王后，将拥有对王国内任意子民授予头衔的权利！点击头衔，输入目标玩家名称，即可对目标玩家授予头衔！每个头衔都有各自的增益或减益效果！
5366	
5367	
5368	
5369	
5370	授予
5371	授予头衔
5372	名称：
5373	请输入玩家名称
5374	当前没有活动！
5375	下次开启时间
5376	当前没有联盟集火战争！
5377	当前没有联盟防守战争！
5378	您当前的资源不足以支付治疗所有士兵的诊金，请前往商店获取更多资源。
5379	体力每小时恢复20点！
5380	当前占领者：%s
5381	治疗部分
5382	统治联盟：%s
5383	国王争夺战已开启，将在 %s 后结束！
5384	国王争夺战已结束！
5385	占领要塞
5386	攻打要塞
5387	请输入要授予的玩家名称
5388	授予失败
5389	成功创建联盟！
5390	已攻打：%s轮
5391	1轮攻破
5392	2～3轮攻破
5393	4轮以上攻破
5394	3星
5395	2星
5396	1星
5397	本次%d轮攻破
5398	每次战斗都有机率获得以下奖励
5399	攻破可获得
5400	随机道具
5401	当前占领时间：%s
5402	在单人活动中独领风骚，赢取排行榜巨奖！
5403	请输入玩家昵称进行查找！
5404	战争发起者：
5405	攻击目标：
5406	目标城池：
5407	联盟信息
5408	成员
5409	属性
5410	盟主
5411	公告信息
5412	"    联盟贡献可通过执行联盟军事行动来获得。部分活动中也有联盟贡献奖励。联盟成员可使用联盟贡献从联盟商店中购买道具。联盟贡献可以从一个联盟带到另一个，不会因联盟解散而消失。
    您可在联盟商店或个人资料中查看当前拥有的联盟贡献。"
5413	"    联盟商店内提供强力的道具，联盟成员可使用联盟贡献购买。
    如果您是联盟的将军或盟主，您还可以在联盟道具目录中，使用联盟资金，为联盟商店上架可供联盟成员购买的物品。"
5414	"    联盟资金可通过执行联盟军事行动来获得。成功占领王国要塞后，联盟每天也能获得一定的联盟资金。
    如果您是联盟的将军或盟主，您还可以在联盟道具目录中，使用联盟资金，为联盟商店上架可供联盟成员购买的物品。
    联盟资金与联盟本身直接绑定。如果联盟被解散，联盟资金也会随着联盟一同消失。转让盟主，对联盟资金无影响。"
5415	摘要和属性
5416	成员战力排行
5417	联盟数据
5418	担当国王联盟的时间
5419	击杀士兵
5420	被击杀士兵
5421	杀敌/死亡比
5422	摧毁陷阱
5423	攻破城池
5424	战斗胜利
5425	战斗失败
5426	胜率
5427	俘虏武将
5428	处决武将
5429	营救武将
5430	被处决武将
5431	联盟帮助
5432	帮助率
5433	打开联盟礼包
5434	总贡献
5435	历史
5436	所获总资金/贡献
5437	成员名称
5438	所获资金
5439	花费贡献
5440	购买道具
5441	购买时间
5442	交易历史
5443	国王争夺战
5444	开启时间：
5445	成为国王的条件：
5446	国王特权：
5447	每周四晚上10点开启，持续到周日晚上10点结束。
5448	在开启争夺战期间，连续占领要塞达到24小时的联盟，将立即成为国王联盟，联盟盟主则立即成为本国的国王。当国王产生时，国王争夺战将立即结束。
5449	直到下一次国王争夺战结束，国王在任职期间可享受全国白银税收，给国民授予头衔，独享国王增益加成等权利。
5450	前往要塞
5451	无法作战
5452	目标已被友方占领
5453	编辑信息
5454	无法侦查
5455	战斗
5456	编辑收藏
5457	解锁盟友战争栏
5458	府邸等级
5459	查看敌军
5460	无法援助
5461	已经达到援军上限
5463	已到期
5464	已领取
5465	创建角色
5466	男
5467	女
5468	退出登录
5469	当前为%s帐号登录
5470	测试
5471	QQ
5472	微信
5473	调节音量
5474	音乐
5475	音效
5476	您确定要返回登录界面吗？
5477	限时礼包
5478	限时热卖
5479	打折钻石
5480	立即充值
5481	查看详情
5482	设置
5483	英雄
5484	检查更新
5485	检查更新完成
5486	正在更新
5487	更新完成，正在重新加载游戏
5488	连接登录服务器
5489	进入游戏
5490	当前版本：
5491	最新版本：
5492	登录失败
5493	网络异常
5494	势力
5495	充值商城
5496	单人活动
5497	（因网络原因发放可能稍有延迟）
5498	更改联盟公告
5499	陷阱等级：%s
5500	立即完成
5501	各等级属性
5502	与服务器断开连接
5503	注意，负载条已变为一个钻石条，这表示您的士兵能采集并带回城池的钻石数量。士兵的1000负载，只能携带1颗钻石。如果钻石条显示为0，则表示您当前调遣的士兵的负载数量，不足以采集并带回哪怕1颗钻石。想要提高对钻石的负载量，请前往兵营训练更多士兵！
5504	继续
5505	不再提示
5506	注意：采集速度增益也能作用于对钻石矿的采集！
5507	钻石采集中
5508	关闭
5509	文本
5510	文本/声音
5511	无限
5512	建立时间：%s
5513	国王：%s
5514	进入王国
5515	维护中
5516	不可捐助
5517	不可出兵
5518	对方不在本国
5519	皇帝争夺战未开启
5520	服务器维护中
5521	不可进入
5522	购买须知
5523	注意：在支付成功界面点击“继续购买”将不能获得额外赠送的钻石和道具！如需购买多次，请回到游戏商城中购买！
5524	确定
5525	行军超时
5526	注意：您本次增援的行军时间，已超过集火时间。如不使用行军加速道具，将无法在战争开始前到达盟友使馆。您确定要增援么？
5527	申请人数：%d
5528	申请上架
5529	击杀%d级怪物
5530	交易失败
5531	等待上一次交易结果返回
5532	已申请
5533	兵力
56	----------联盟活动
5601	活  动
5602	历史记录
5603	活动目标
5604	奖  励
5605	排行奖励
5606	参与成员
5607	联盟活动！
5608	活动结束时间
5609	联盟积分
5610	这是一个全球联盟活动！这意味着所有王国的每个联盟都将相互竞争。全球联盟活动提供排行榜巨奖！
5611	联盟活动仅适用于联盟。和你的联盟合作，赢取活动点数！当你的联盟拿到一个奖品时，则每个至少贡献了1点的人都能以联盟礼物的形式收到该奖品！如果你的联盟赢得了排行榜奖品，则每个至少贡献了1点的人都能以联盟礼物的形式受到该排行榜奖品！
5612	如何获得点数
5613	进行以下任何操作，即可在本次活动中获得点数，获得足够点数即可赢取奖品！
5614	（%d）
5615	%d点
5616	注意：你必须至少获得1点积分才能获得联盟奖品。
5617	执行以上操作即可获得点数，获取足够点数，即可获得以下奖品，你会以联盟礼物的形式获得所有奖品。
5621	训练%d级士兵
5622	杀死%d级士兵
5623	击伤%d级士兵
5624	制造%d级陷阱
5625	破坏%d级陷阱
5626	杀死%d级他国士兵
5627	击伤%d级他国士兵
5628	破坏%d级他国陷阱
5629	击杀%d级野怪
	
5640	奖品
5641	积分
5642	状态
5643	给予你联盟的%s
5644	活动得分最高的联盟将获得下列排行榜奖品，按下“查看所有奖品”，查看你的联盟可赢取的排行榜奖品完整列表！
5645	收到联盟活动排行奖品后，你会在报告中受到一封电子邮件。
5646	第一名奖励
5647	查看全部奖品
5648	本次活动中获得点数最高的联盟将获得以下海量奖品，不停得分，攀升排行旁，取得胜利！
5649	第%d名奖励
5650	你可以在这里查看参与联盟活动的全部成员，以及他们在本次活动贡献出的积分
5651	活 动
5652	恭喜下列联盟获得前十名奖励
5653	服务器：%s
5654	查看奖品
5655	活动引领者奖励
5656	联盟活动结束后，获得点数最多的联盟将获得排行榜奖品。你可以在历史记录中查看之前联盟活动中排名前10的联盟。
5657	恭喜
5658	该联盟赢得以下特殊奖品
5659	联盟活动
	
60	----------点将台
6001	武将招募
6002	名将拍卖
6003	名将图鉴
6004	招募新武将
6005	更多信息
6006	您当前还没有武将
6007	您当前已有武将
6008	当您的武将被处决后，您可在此处招募新的普通武将，招募成功后原有武将将不可复活。新武将将按照别院等级来继承原有武将的经验。
6009	显示当前所有已出世的名将和他们的实时资料信息
6010	
6011	名将
6012	等级
6013	主公
6014	势力
6015	信息
6016	立即获得
6017	拍卖获得
6018	钻石
6019	名将：%s
6020	势力：%s
6021	生平：%s
6022	每一位名将都是世界唯一的！只能同时被一人所拥有！
6023	%d钻
6024	%d钻石竞拍中
6025	倒计时 %s
6026	若竞拍名将成功时您已拥有其他武将，则该名将将会直接替换掉您的原有武将，原有武将将会消失。在该名将竞拍期间，您不能再对其他名将进行竞拍，您确定要竞拍该名将么?
6027	若竞拍名将成功时您已拥有其他武将，则该名将将会直接替换掉您的原有武将，原有武将将会消失。在该名将竞拍期间，您不能再对其他名将进行竞拍，您确定要竞拍该名将么?
6028	您输入的金额低于竞拍底价，请重新输入。
6029	使用%s钻石，您将立即拥有这位名将，您想要立即拥有这位名将么？
6030	只有名将才拥有技能，不同名将有各自不同的专属而强大的技能！拥有名将意味着您将更容易成为其他玩家的攻击目标！相比普通武将，名将也更容易在战败后被敌军俘虏！您确定要拥有名将么？
6031	您当前拥有的钻石不足以支付该费用，是否购买钻石？
6032	您确定使用%s钻石来立即获得该名将么？该名将将会自动继承您原有武将的所有经验，但原有武将将会离您而去！
6033	您已参与竞价该名将，再使用%d钻石补足差价，便可立即获得该名将。该名将将会自动继承您原有武将的所有经验，但原有武将将会离您而去！
6034	提示
6035	是
6036	否
6037	名将：%s
6038	拍卖的底价为
6039	"请在下方输入价格进行暗拍！参与竞拍后，在该名将拍卖期间，您不能再对其他名将进行竞拍和直接购买操作！
  如果您竞拍失败，您的竞拍资金将会在拍卖结束后，在点将台界面如数返还。
  如果您竞拍成功，该名将将会直接替换掉您的原有武将，原有武将将会消失。"
6040	成功拥有新武将！
6041	您已参与竞拍%s！
6042	武将Lv.%s解锁
6043	%s位出世名将
6044	主公：%s
6045	坐标： K：%s 
6046	当前没有可竞拍的武将，敬请期待！
6047	您输入的价格低于竞拍底价，不能参与竞拍！
6048	增加出价
6049	您可以在下框中输入增加的价格，对这个名将进行加价竞拍。出价越高越有利于您成功竞拍到名将！ 
6050	提示：输入的价格为在原有价格上增加的钻石数量
6051	您当前对其竞拍价格为
6052	您输入的加价不能低于1
6053	是否确定加价？
6054	加价成功！
6055	即将开拍
61	---------------------书院
6101	%s信息
6102	研究速度加成
62	---------------------地牢信息
6201	地牢
6202	减少处决时间
6203	额外特权（21级开启）
6204	被关押武将等级
6205	您将获得攻击力加成
6206	可关押武将数量
63	---------------------仓库详情
6301	仓库
6302	石材
6303	木材
6304	生铁
6305	粮草
6306	开启白银保护
6307	白银
64	----------------------体育馆
6401	别院
6402	经验加成
6403	经验继承
6404	+20 额外天赋点
65	-----------------------铁匠铺
6501	铁匠铺
6502	制造速度加成
6503	解锁额外饰品栏
66	-----------------------生产建筑
6601	/小时
6602	/储量上限
67	-----------------------哨塔
6701	哨塔
6702	哨塔功能
68	-----------------------府邸
6801	府邸
6802	行军兵力上限
6803	行军上限
6804	联盟帮助上限
69	-----------------------制造
6901	制造
6902	制造品阶表能清晰的告诉您，您当前制造的装备在每个品阶的成功率。尽可能使用高品阶的材料去制造装备，这会大大增加高品阶装备的成功率。
6903	传说
6904	史诗
6905	惊世
6906	稀有
6907	非凡
6908	普通
70	-----------------------联盟商店
7001	联盟贡献
7002	联盟商店
71	-----------------------军政厅
7101	军政厅
7102	援军上限
72	-----------------------使馆
7201	使馆
7202	援军上限
7203	+10% 联盟战争防御
73	-----------------------市集
7301	市集
7302	资助上限
7303	税收
7304	-50% 资助行军时间
74	-----------------------钱庄
7401	钱庄
7402	/小时
7403	/储量上限
7404	训练速度
7405	+2% 部队攻击
75	-----------------------医馆
7501	医馆
7502	容纳伤兵上限
7503	+5% 部队血量
76	------------------------战报
7601	战斗胜利！
7602	战斗失败！
7603	白银
7604	获得资源
7605	失去资源
7606	资源数量
7607	战力：
7608	损失的兵力+陷阱
7609	损失的兵力
7610	我军信息
7611	敌军信息
7612	兵力：
7613	负伤：
7614	阵亡：
7615	幸免：
7616	陷阱信息
7617	总数：
7618	摧毁：
7619	武将：
7620	武将等级：
7621	武将经验：
7622	战报详情
7623	战斗回放
7624	由于防守方没有军队和城防，未发生战斗。
7625	个人信息
7630	------------------------战报详情
7631	进攻者
7632	防御者
7633	兵种
7634	阵亡
7635	%s击杀士兵：%d
7636	%s摧毁陷阱：%d
77	
7701	占领成功！
7702	您已成功占领营地！
7703	来自%s（%s）
7704	占领营地（%s）
7705	兵种
7706	数量
7710	-------------------------收集
7711	采集成功，军队归来！
7712	 
7713	资源
7714	材料
7715	没有发现材料
7716	获取资源:%d\n
7717	获取材料:%d\n
7718	K:%s X:%d Y:%d
78	----------------------------------墓地
7801	牺牲的武将
7802	处决的武将
7803	联盟：
7804	等级：
79	----------------------------------攻打BOSS
7901	攻击%s
7902	生命值
7903	战力：
7904	击杀后必得道具
7905	 每次攻击后随机获得道具
7906	战斗
7907	%s体力
7908	野外Boss
7909	您的体力不足，是否前往购买？
7910	------------------------------装备信件
7911	属性
7912	加成
7913	制造奖励
7914	武将经验：
7915	查看装备
7916	该装备已被您销毁
7920	------------------------------普通信件
7921	回复
7922	拒收
7923	系统
7924	清空
7930	------------------------------墓地
7931	复活
7932	回魂丹
7933	您确定要复活%s么？
7934	您确定要消耗1个九转回魂丹来复活%s么？
7935	处决时间：
7936	当前没有牺牲的武将
7937	当前没有处决的武将
7938	复活武将需要道具“九转回魂丹”，是否进入商店购买？
7950	------------------------------被侦察信件
7951	侦查通知
7952	主公请注意，有人对您进行了侦查！
7953	侦查者：
7954	坐标：
7955	主公请注意，有人对您进行了侦查！
7956	未知
7957	哨塔等级不足，无法侦查！
7958	无
7970	------------------------------战争预警信件
7971	战争预警
7972	主公请注意，有人向您发起战争！
7973	战争信息
7974	战争发起者：
7975	战争类型：
7976	敌军到达时间：
7977	敌军情报
7978	战争科技
7979	士兵攻击：
7980	士兵防御：
7981	士兵血量：
7982	行军速度：
80	------------------------------侦察信件
8001	侦察报告
8002	敌军情报
8003	援军情报
8004	敌军增益
8005	敌军资源
8006	增援队伍：
8007	敌军建筑
8008	您对玩家进行了侦查！
8009	侦查目标
8010	【%s】
8011	%s：
8012	军队
8013	侦查科技等级不足！
8014	玩家
8015	敌军尚无增援部队
8016	+%s
8017	敌军尚无增益
8018	侦查失败！
8019	没有武将！
8020	（未随军）
8021	、
8022	…
8023	成功击杀
8024	成功出击
8025	本次攻打：%s%%血量
8026	获得道具
8027	击杀奖励道具
8028	联盟礼包
8029	前往商城
8030	小提示：攻打野外boss士兵不会伤亡！
8031	武将
8032	获得限时材料
81	------------------------------总管
8101	总管
8102	我的物品
8103	我的装备
8104	我的材料
8105	我的宝石
8106	联盟商店
8107	联盟道具目录
8108	道具商店
8120	------------------------------礼官
8121	礼官
8122	截止时间：
8123	领取
8124	在线礼包
8125	剩余时间：
8126	您今天的在线礼包已领取完！
8127	府邸升级礼包
8128	可领取
8129	发放人：
8130	------------------------------丞相
8131	丞相
8132	当前有%d个盟友请求您的帮助！
8133	当前没有盟友需要帮助
8134	前往帮助
8135	建筑工人空闲中！
8136	
8137	进城建造
8138	加速
8140	书院学者空闲中！
8141	前往研究
8142	城卫军空闲中！
8143	军事行动已结束！
8144	请等待行动刷新
8145	军事行动
8146	立即刷新
8147	联盟军空闲中！
8148	您尚未加入联盟！
8149	加入联盟
8150	禁卫军空闲中！
8151	您尚未激活VIP特权！
8152	激活VIP
8153	兵营可以训练士兵！
8154	您还没有建造兵营！
8155	兵力已达上限，请升级兵营！
8156	前往训练
8157	前往建造
8158	有伤兵需要被治疗！
8159	前往治疗
8160	您尚未建造医馆！
8161	医馆当前没有伤兵
8162	城墙内可以建造陷阱！
8163	建造陷阱
8164	陷阱数量已达上限，请升级城墙！
8165	您尚未建造书院！
8166	立即刷新行动
8167	取消勾选后您将不会再得到%s的提醒，您确定要关闭提醒么？（重新勾选可打开提醒）
8168	联盟帮助
8169	医馆状态
8170	城卫军状态
8171	联盟军状态
8172	禁卫军状态
8173	兵营状态
8174	城墙状态
8175	书院学者状态
8176	行军状态
8177	您尚未建造军政厅！
8178	小提示：取消勾选后您将不会再得到此队列的提醒。
8179	您尚未加入联盟！是否现在加入联盟？
8180	兵营士兵 ×%d 空闲中！
8181	当前兵营没有士兵！
8182	当前没有空闲中的行军队列！
8183	当前没有空闲中的士兵和行军队列！
8184	出城采集
8185	体力状态
8186	当前没有剩余体力！体力在整点时回复。
8187	当前剩余体力：%d！ 
8188	前往战役
8189	建筑工人状态
8190	国王争夺战已开启！
8191	国王争夺战开启倒计时：
8192	前往要塞
8193	国王争夺战
8194	竞拍名将
8195	前往竞拍
8196	点将台有名将正在拍卖！
8197	点将台没有名将正在拍卖！
8198	攻击boss
8199	体力不足！体力将在整点时回复。
82	-------------------------捐赠信件
8201	获得盟友资助
8210	-------------------------------行军CD队列
8211	正在行军
8212	正在回城
8214	正在采集
8215	正在集火
8216	攻打要塞
83	-------------------------GM邮件
8301	GM邮件
8302	物品发放
8220 -------------------------府邸官员	
8221	将军
8222	斥候
8223	使者
90	-------------------------信件
9001	信件
9002	收信
9003	通知
9004	收藏
9005	联盟
9006	加载更多
9007	全选
9008	写信
9009	发送
9010	发送失败
9011	收件人不存在，请检查是否输入昵称错误。
9012	已读
9013	战报信件
91	-------------------------学院
9101	战争科技
9102	城防科技
9103	经济科技
9104	当前等级加成：%d%%
9105	下一等级加成：%d%%
9106	已精通
9107	信息
9108	研究
92	-------------------------技能
9201	当前等级加成：%0.2f%%
9202	下一等级加成：%0.2f%%
9203	分配点数
93	-------------------------新手礼包
9301	恭喜主公完成新手引导，从此踏上坐拥天下的征程！
9302	轻步兵×3000
9303	钻石×100
101	-------------------------积分、排名奖励信件
10101	个人活动
10102	积分奖励
10103	排名奖励
10104	达成目标
10105	活动奖励
10106	活动日期：
10107	活动排名
10108	目标积分：
102	-------------------------国王、头衔通知信件
10201	恭喜您夺得王位！
10202	很遗憾，您失去了王位！
10203	王国向您授予了头衔！
10204	您的头衔已被撤销！
10205	头衔属性
103 -----------------------------资料	
10301	资料
10302	府邸等级：
10303	战力
10304	杀敌
10305	VIP
10306	联盟贡献
10307	墓地
10308	武将
10309	信件
10310	好友
104	-------------------------登陆报错
10401	网络异常，请重新登录
10402	用户名不能为空
10403	密码不能为空
10404	登录失败，网络超时
10405	登录失败，网络错误
10406	登录失败，信息错误
10407	登录失败，用户名为空
10408	登录失败，服务器正在维护，请稍后重试。
10409	登录失败，服务器异常
10410	登录失败，服务器人数上限
10411	登录失败，玩家数据异常
10412	登录失败，角色创建失败
10413	登录失败，GM封号中
10414	重新登录
10415	数据异常（错误代码：%d），如有疑问，请联系客服。
10416	与服务器连接已超时，请重新登录。
105	-----------------------------提示
10501	粮草消耗
10502	    士兵每小时会消耗一定的粮草，这称为消耗。您可在兵营中查看各兵种的粮草消耗成本。解散士兵可避免粮草消耗成本过高。
106 ----------------------------状态	
10601	警告！
10602	你被GM踢下线了。
10603	确定
10604	你被禁言了
10605	你已经解除禁言
10606	服务器维护
10607	你的登录验证信息已超时，请重试登录。
107	----------------------------菜单
10700	菜单
10701	任务
10702	道具
10703	联盟
10704	信件
10705	联系GM
10706	设置
10707	推送通知
10751	您好，我是GM小婵，感谢您对本游戏的大力支持！如果您有任何疑问、意见、建议，欢迎与我取得联系！\n\n小婵QQ：2481590581\n小婵电话：4000985200-823\n官方QQ群：97866908
10752	您好，我是GM小婵，感谢您对本游戏的大力支持！如果您有任何疑问、意见、建议，欢迎与我取得联系！\n\n小婵YY：1208520370\n官方YY群：12898726\nYY客服频道：10频道
108	----------------------------体力道具
10801	体力每小时回复20点，直至回复到体力上限！
10802	在充值商城中，购买野怪助力礼包，可获得体力卡！
10803	您当前没有体力卡！
10804	拥有：%d
10805	使 用
10806	体力
10807	使用道具
10808	当前您没有可使用的体力道具
10809	前往商城
109	----------------------------联盟活动邮件
10901	联盟活动积分奖励
10902	联盟活动排名奖励
10903	目标积分：
10904	活动排名：
10905	活动日期：
10906	活动奖励
10907	达成目标
110	----------------------------签到界面
11001	每日签到
11002	当前已连续签到：
11003	%d天
11004	签到
11005	查看
11006	关 闭
11007	连续签到能获得额外奖励！连续签到天数越多，奖励越丰厚！
11008	7天以上
11009	小提示：点击道具图标进行签到
11010	签 到
11011	新服
111	----------------------------王国活动
11101	王国活动
11102	活动
11103	历史记录
11104	玩法说明
11105	个人目标
11106	联盟目标
11107	王国目标
11108	开启活动的王国
11109	前往敌对国家
11110	在王国活动当中，您需要执行操作拿到积分，积分可以帮你完成个人目标拿到奖励，也可以帮助您的联盟完成目标拿到奖励，同时，在活动结束时，积分获得更多的王国可以让全国都获得神秘奖励。
11111	在王国争夺战开启期间，有一些不同的规则，您可以点击“操作说明”来查看详细内容。
11112	操作说明
11113	获取积分
11114	您可以通过进行以下操作来获取个人积分和联盟积分和王国积分。
11115	王国活动可以让王国之间相互征伐，逐鹿至高权利和终极奖品！
11116	获得积分
11117	执行“王国活动”界面下“操作指南”中指定的行动，可以获得王国活动点数。
11118	外来者
11119	外来者是指来自敌对王国的玩家，不过要记住，对于其他王国来讲，你的王国也是敌对王国，这意味着，他们在你眼中是红色的邪恶城市，你在他们眼中也是如此。
11120	跨国占领
11121	王国活动开始时，你就可以在参与活动的王国之间传送了。玩家必须使用高级迁城令传送到敌对王国。
11122	王国许可
11123	传送到敌对王国后，你就会立刻获得跨王国许可，允许你的城市在敌对王国行动。
11124	排行榜
11125	王国活动中有三项排行榜，以下是这三项排行榜。
11126	王国排行
11127	联盟排行
11128	个人排行
11129	优胜王国
11130	活动中获得点数最多的王国将得到装满免费钻石的钻石矿。
11131	我的积分
11132	结束剩余时间
11133	（%s）
11134	我的奖品
11135	奖品%d
11136	积分
11137	状态
11138	排行奖励
11139	所有王国中，在活动中获得点数最多的玩家将得到排行榜奖品！下面是排行榜第一个名奖品介绍。按下”查看所有奖品“，查看全部排行榜奖品。
11140	第一名奖励
11141	游戏奖品
11142	查看全部奖品
11143	联盟积分
11144	联盟奖励
11145	价值钻石：
11146	活动得分最高的联盟将获得下列排行榜奖励。按下“查看所有奖品”，查看你的联盟可赢取的排行榜奖品完整列表！
11147	王国积分
11148	在王国活动期间，会累积你的王国的总积分。在活动结束时，活动点数多的国家为胜者。
11149	王国赢家
11150	活动中获得点数最多的王国会给予难以想象的丰厚钻石资源方格作为胜利奖励！
11151	王国活动结束后，你可以在这里查看王国，联盟，个人获取奖励的情况。
11152	%d点
11153	训练%d级士兵
11154	杀死%d级士兵
11155	击伤%d级士兵
11156	制造%d级陷阱
11157	破坏%d级陷阱
11158	杀死敌国%d级士兵
11159	击伤敌国%d级士兵
11160	破坏敌国%d级陷阱
11161	击杀%d级野怪
	
11170	
11171	王国活动！
11172	当前没有活动
11173	不相伯仲
11174	胜负已分
11175	胜
11176	负
11177	平
11178	恭喜下列联盟获得前十名奖励
11179	查看奖品
11180	恭喜下列玩家获得前十名奖励
11181	您尚未加入联盟
11182	加入联盟
11183	正在获取...
113	----------------------------新手礼包
11301	新人14天登录礼包
11302	新手玩家连续14天登录游戏，即可在每天领取以下奖励。第7天和第14天将获得丰厚奖励！
11303	第%d天
11304	已领取
11305	领取
11306	钻石
11307	已错过
114	----------------------------要塞撤兵信件
11401	要塞撤兵
11402	%s从您的要塞驻军中撤兵 × %d
11403	兵种
11404	数量
11405	步兵
11406	弓兵
11407	骑兵
11408	攻城兵
115	----------------------------引导
11501	引导
11502	在引导操作内，您可以对您的城池，内政，军队等进行方便快捷的管理，助您轻松掌控全局
11503	内 政
11504	军 队
11505	行动任务
11506	体 力
11507	国王争夺战
11508	未找到可采集资源点
11509	未找到可攻击BOSS
11510	城内没有士兵！
11511	当前建筑不存在，请建造！
116	----------------------------BOSS活动
11601	时间：%d/%d/%d—%d/%d/%d
11602	查看详情
11603	玩法说明
11604	精英BOSS的出现
11605	在活动开放期间，地图上会定时随机出现一定数量的精英BOSS，击败他们可获得丰厚奖励!(刷新时间请关注活动页面)
11606	攻打方法
11607	与普通Boss不同，强大的精英Boss只能通过集火的方式进行攻打！并且只有当集火人数达到20人才能对精英BOSS造成伤害！
11608	小提示：攻打精英BOSS与普通BOSS相同，参与战斗的士兵是没有伤亡的。
11609	奖励—限时材料
11610	成功击杀BOSS后，所有参与集火的成员都将随机获得一个限时材料，同时联盟获得精英BOSS击杀礼包，打开同样可获得限时材料！
11611	制作限时装备的材料，于20XX年X月X日删除
11612	凤羽 Lv.1
11613	限时装备
11614	通过获得限时材料，可在铁匠铺中制造限时装备，限时装备虽然会在一定时间后消失，但是却拥有异常强大的属性！助您称霸天下一统三国！！
11615	精英BOSS活动
11616	%s！
11617	精英BOSS
11618	刷新剩余时间
11619	无活动
11620	当前没有开放精英BOSS活动，敬请期待！
117	----------------------------攻打boss2
11701	击杀后将会获得以下材料
11702	集火
11703	联盟礼包
